unit_order,unit_id,unit_title,P2789,P3465,M487,P3466,P3473,A4095,L8751,P5881,L4044
1,41fcca37-f1fd-4db7-a4ea-a503888e4e73,Chapter Title,باب الناسك والضيف,باب الناسك والضيف,الباب الثاني عشر باب الناسك والضيف,باب الناسك والضيف,الباب الثالث عشر باب الناسك وضيفه,باب الناسك والضيف,باب الناسك والضيف وهو الباب السابع عشر,باب الناسك والضيف,باب الناسك وضيفه
2,10bb9b31-0263-4a29-a176-c45077801a6a,Chapter Abstract,وهو مثل من يترك عمله الذي يليق به ويشاكله ويطلب غيره فلا يدركه فيرجع إلى العمل الذي كان في يده فلا يقدر عليه فيبقى حيرانًا متردّدًا,,,,,,,,
3,86022de6-d055-4716-bb62-d535d90b6656,Moral Of Chapter,,,,,,,,,
4,d921cfdb-b8d3-4c40-9a9c-abd5963cfbbd,King Understood Last Chapter,قال الملك ذي يسلم لبيدبا الفيلسوف قد فهمت ما ذكرت لي من أمر من يدّعي ضرّ غيره لضرّ نفسه أي يصيبه ويليه ويدخل عليه,قال دبشليم الملك لبيدبا الفيلسوف قد سمعت هذا المثل,قال المَلك للفيلسوف قد فهمت ما ذكرت ممّن يدع ضرّ غيره لضرّ يصيبه أو بليّة تدخل عليه,قال ديشلم الملك لبيدنا الفيلسوف قد سمعت هذا المثل,قال المَلك للفيلسوف قد فهمت ما ذكرت,قال المَلك للفيلسوف قد فهمت ما ذكرت من أمر من يدع ضرّ غيره لضرّ نفسه,قال الملك للفيلسوف قد فهمت ما ذكرت من أمر من يدع ضرّ غيره لضرّ يصيبه أو بلية تدخل عليه,قال الملك للفيلسوف قد فهمت ما ذكرت من مثل من يدع ضرّ غيره لألم يصيبه أو بليّة تنزل به,قال ديشلم الملك لبيدبا الفيلسوف قد سمعت مقالتك
5,243fc2ff-f7bd-4a3c-9abc-67e77baa84c9,King Ask Seek Wrong Work,فأخبرني عمّن يدع [[ضرّ غيره]] عمله الذي يليق به ويطلب سواه فلا يدركه فيرجع إلى الذي كان فيه فلا يقدر عليه فيبقى حيرانًا,فاضرب لي مثل الذي يدع صنعه الذي يليق به ويشاكله ويطلب غيره فلا يدركه فيبقى حيرانًا متردّدًا,فأخبرني عن من يدع عمله الذي يليق به ويشاكله ويطلب سواه فلا يدركه فيراجع الذي في يديه فلا يقدر عليه,فأخبرني عن من يدع عمله الذي يليق به ويشاكله ويبعد عنه إلى غيره من الأعمال فلا يدركه وينسى عمله الذي كان فيه فيبقى حيران,فأخبرني عن الذي يدع عمله ويتعانى عمل غيره ممّا لا يليق به ولا يُشاكله فيبقى من ذلك مددًا متحيّرًا,فأخبرني عمّن يدع عمله الذي يعرفه ويليق به ويطلب سواه فلا يقدر عليه فراجع الذي كان في يده من عمله فيفوته ويبقى حيران ملدّد,فأخبرني عمّن يدع عمله الذي يليق به ويشاكله ويطلب سواه فلا يدركه فيراجع الذي كان في يده فلا يجده ولا يقدر عليه فيبقى حيرانًا متلدّدًا,فأخبرني عمّن يدع عمله الذي يليق به ويشاكله ويطلب ما سواه فلا يُدركه فيرجع للذي كان في يده فلا يقدر عليه فيبقى حيرانًا متردّدًا,فإذا رأيت أن تحدّثني عمّن يدع عمله الذي يشاكله ويليق به فيتعدّى ذلك إلى غيره من الأعمال فلا يدركه وينسى عمله الذي كان يحسنه فيصير حيرانًا
6,c605b255-0b32-4e79-beaf-6ba283b80a27,Mention A G Story,,,,,,,,كالناسك والضيف,
7,0d38cc72-f00e-4f66-a35d-6989dd88ada5,King Requests A G Story,,,قال المَلك وكيف كان ذلك,,,,,قال الملك وكيف كان ذلك,
8,9cac6cca-9fa2-4d55-857b-0cdd82d00ce4,Story Ascetic Guest,قال الفيلسوف (حكاية) زعموا أنّه كان بالكرخ فيلسوف متنسّك عابد مجتهد فترك به ذات يوم ضيف فدعا الناسك بثمر يستطرفه عندهم فأكلا منه جميعًا,قال الفيلسوف زعموا أنّه كان بأرض الكرخ ناسكًا عابدًا مجتهدًا فنزل به ضيف ذات يوم فدعا الناسك لضيفه بثمر لظرفته عندهم فأكلا منه جميعًا,قال الناسك زعموا أنّه كان بأرض الكرخ ناسكًا فاستضافه ضيف يومًا من الأيّام فدعا الناسك لضيفه بتمر لطرفته عندهم فأكلا جميعًا,قال الفيلسوف زعموا أنّه كان بأرض الكرخ رجل ناسك فنزل به ذات يوم ضيف فدعا الناسك بتمر لطرفته عنده فأكلا جميعًا,قال الفيلسوف زعموا أنّه كان بأرض الكرخ ناسكًا مجتهدًا فنزل به ذات يوم ضيفًا فأحضر الناسك لضيفه تمرًا من ثمار تلك الأرض ليُظرفه به وأكلا منه,قال الفيلسوف زعموا أنّه كان في أرض يُقال لها *الكرخ ناسكًا مجتهدًا في النسك فنزل به ضيفًا ذات يوم فدعا له بثمر ليُطرفه به فأكلا منه جميعًا,قال الفيلسوف زعموا أنّه كان في أصل الكرخ رجل ناسك مجتهد فنزل به ضيف ذات يوم فدعا بتمر ليطرفه إيّاه فأكلا منه جميعًا,قال الفيلسوف زعموا أنّه كان بأرض الكرخ ناسكًا مجتهدًا [مجتهدًا] فنزل به ضيف ذات ليلة فقدّم إليه تمرًا فأكل منه,قال بيدبا زعموا أنّه كان بأرض الكرخ ناسك فأضافه ضيف يومًا من الأيّام فدعا الناسك لضيفه بتمر لطرفته عندهم فأكلا منه جميعًا
9,8163dceb-aab7-427b-8be4-06934bf07c28,Guest Praise Dates,ثمّ أنّ الناسك قال لضيفه ما أحلا هذا التمر وأطيبه,ثم قال الضيف ما أحلى هذه الثمر وأطيبه,قال الضيف للناسك ما أحلى هذا التمر,فقال ضيف الناسك ما أحلى التمر وأطيبه,ثمّ أنّ الضيف قال ما أحلى هذه التمرة وأطيبها,ثمّ أنّ الضيف قال ما أحلى هذا التمر وأطيبه,ثمّ إنّ الضيف قال ما أحلى هذا التمر وأطيبه,ثمّ أنّ الضيف قال ما أحلى هذا التمر وأطيبه,فقال الضيف للناسك ما أحلى هذا التمر وأطيبه
10,c02ce105-4e67-4371-b0a9-f48d5ba0d361,No Palm Trees At Home,فليت في بلاد الذي أسكنها نخل,فليت في بلادي التي أسكنها,فليت أرضنا التي نسكنها أرض نخل وتمر,فليت أرضنا التي نسكنها أرض نخل وتمر,ليت كان في بلادنا التي نحن بها مثلها,وليس في بلادي الذي أسكنها نخل,وليس في بلادي التي أسكنها نخل,ليت في بلادي نخلًا,وليست أرضنا التي نسكنها بأرض نخل
