unit_order,unit_id,unit_title,A4095,CCCP578,Met-1981.373,P3465,P3471,R2536,P3473,P5881,P3475
1,695b569f-2522-497c-8e62-58a5ca6e2aac,Burzurgmihr's Introduction,قال بزرجمهر إنّ برزويه رأس أطبّاء فارس وهو الذي ولي بانتساخ هذا الكتاب وترجمه من كُتُب الهند,قال برزويه رأس أطبّاء فارس وهو الذي تولّى انتساخ هذا الكتاب وترجمه من كُتُب الهند,قال برزويه الطبيب رأس أطبّاء فارس وهو الذي ولي استنساخ هذا الكتاب وترجمه في كتاب الهند,قال برزويه رأس أطبّاء فارس وهو الذي تولّى انتساخ هذا الكتاب وترجمه من كتب الهند وقد مضى ذكر ذلك من قبل فيما مضى,ترجمه برزجمهير بن البختكان قال برزويه رأس أطباء فارس وهو الذي تولّى انتساخ هذا الكتاب وترجمته من كتب الهند,وهو بعد حديث برزويه رأس أطبّاء فارس كان,ترجمة بزرجمهر قال الحكيم الفاضل الفيلسوف برزويه رأس أطبّاء فارس وهو الذي تولّى انتساخ هذا الكتاب وترجمته من اللغة الهنديّة إلى الفارسيّة,قال برزويه وهو رأس الأطبّاء وهو الذي ولّي انتساخ هذا الكتاب,قال برزويه المتطبّب
2,21239388-2e53-4dd7-925b-51d3e38ba2d7,Burzoy's Parents,قال إنّ أبي كان من المقاتلة وكانت أمّي من بنات عظماء الزمازمة وفقهائهم في دينهم,إنّ أبي كان من المقاتلة وكانت أمّي من بنات عظماء الزمازمة,إنّ أبي كان في المقاتلة وكانت أمّي من عظماء الزمازمة,إنّ أبي كان من المقاتلة وكانت أمّي من عظماء بيوت الزمازمة,إنّ أبي كان من المعامله وأفخر من بيوت عظماء الرمازمه,أبي من المقاتلة وكانت أمّي من بيوت الزمازمة والفقهاء وعظمائهم,إنّ أبي كان من المقاتلة وكان أمّي من بيوت عظماء الزمازمة,إنّ أبي كان من المقاتلة وأنّ والدتي من عظماء الزمارمة,إنّ أبي كان من المقاتلة وكانت أمّي من بنات عظماء الزمازمة وفقهائها في دينهم
3,c271b65a-ab05-4ae2-baf6-629bc9284621,Burzoy Studies Medicine,وكان ممّا ابتدأني به ربّي من نعمة أنّي كنت من أكرم ولد أبويّ عليهما وأنّهما أسلماني في تعليم الطبّ لمّا صار لي من عمري سبع سنين,وكان ممّا ابتدأني به ربّي من نعمته أن كنت من أكرم ولد أبويّ عليهما وأنّهما أسلماني في تعليم الطبّ حتّى بلغت سبع سنين,وكانت ممّن ابتدأني ربّي من نعمه أنّي كنت أكرم ولد أبويّ عليهما وكانا أشدّ افتقادًا لي من سائر إخوتي وأنّهما أسلماني في تعليم الطبّ وصناعته حتّى بلغت سبع سنين,وكان منشئي في نعمة كاملة وكنت أكرم ولد أبواي عليهما وكانا بي أشدّ احتفاظًا من دون إخوتي حتّى إذا بلغت سبع سنين أسلماني إلى المؤدّب فلمّا حذقت الكتابة شكرت أبويّ ونظرت في العلم فكان أوّل ما ابتدأت به وحرصت عليه علم الطبّ لأنّي كنت عرفت فضله وكلّما سددت منه علمًا ازددت فيه حرصًا وله اتّباعًا,وكان فيما ابتدأني به ربي من نعمة على أننّي كنت أكرم عظماء ولد أبويّ عليهما وكان أبي أشدّ احتفاظًا بي من سائر إخوتي حتّى حتّى إذا بلغت سبعًا أسلمني إلى المكتب,وكان ممّا ابتدأني به ربّي من النعمة إنّي كنت أكرم ولد أبويّ عليهما وأنّهما أسلماني في تعليم الطبّ حتّى بلغت سبع سنين,وكان ممّا ابتدأ به ربّي من نعمة عليّ وإحسانه إليّ أنّي كنت أكرم ولد أبويّ وكان أبي أشدّ احتفاظًا وأعظم اعتناء منهما بسائر إخوتي حتّى إذا بلغتْ سنّي سبعًا ودّاني إلى تعليم الكتب وفتح الله عليّ باب الفهم فحصّلت منه طائلًا في أقرب مدّة فكان أوّل ما بدأت به ودأبت نفسي فيه وحرصت عليه,وكان فيما ابتدأني به ربّي جلّت قدرته من نعمه عليّ وإحسانه إليّ أنّي كنت أكرم ولد أبوي عليهما وأعزّهما عندهما وأنّهما أسلماني في تعليم الطبّ حين بلغت سبع سنين,وكان ممّا بتدأني به ربّي من نعمته عليّ أنّي كنت من أكرم ولد أبويّ عليهما وأنّهما أسلماني في تعليم الطبّ حين بلغت سبع سنين
4,7d4958f5-9b5a-4ecf-b9cc-2c3c6616568e,Burzoy Consults His Soul About Its Ambitions,فلمّا بلغت وعرفت أمر الطبّ وفضله شكرت رأيهما في ذلك ورغبت في تعليمه حتّى إذا سددت منه علمًا وبلغت فيه ما ائمنت له نفسي على مداواة المرضى وهممت بذلك أمرت نفسي وذكّرتها وخيّرتها بين الأمور الأربعة التي هي إيّاها يطلب الناس ولها يتّبعون وإليها يجدّون,فلمّا بلغت عرفت أمر الطبّ وفضله وحرصت عليه تشكّرت لأبويّ رأيهما في ذلك ورغبت في تعليم الطبّ وزدت حرصًا عليه حتّى إذا سدوت؟ منه علمًا وبلغت منه ما أردت أخذت نفسي في مداواة المرض وهممت بذلك أمرت نفسي وخيّرتها في الأمور الأربعة التي يطلبوها الناس وإليها يسعون,فلمّا بلغت علم الطبّ وحرصت عليه حتّى إذا ؟أسدت منه علمًا وبلغت ما ائتمنت به نفسي على مداواة المرضى وهممت بذلك أمرت نفسي وخبرتها في الأمور الأربعة التي تطلبها الناس وإليها يسعون,فلمّا همّت نفسي بمداواة المرضى وعزمت على ذلك أمرت نفسي ثمّ خيّرتها بين الأمور الأربعة التي يطلبها الناس وإليها يرغبون ولها يسعون,فلمّا حدقت ذلك وعرفته شكرت أبويّ على ما أوصاني إليه من العلم ثمّ كان أوّل ما برأت به علم الطبّ وحرصت عليه حرصًا شديدًا فلمّا أؤتمنت على مداواة المرضى وهمت بذلك أمرت نفسي وخيّرتها من الأمور الأربعة التي إيّاها تطلب الناس وإليها يسعون,فلمّا عرفت فضل الطبّ وأمره شكرت لأبويّ رأيهما في ذلك وحرصت في تعليم الطبّ وعلمه حتّى شذوت منه علمًا وبلغت ما تمنّت به نفسي من مداواة المرضى ومن ذلك أمرت نفسي وخيّرتها في الأمور الأربعة التي يطلبها كثيرًا من الناس ولها يسعون,وصرفت همّتي إليه علم الطبّ ومهرت فيه وعالجت المرضى مدّة فوجدته علمًا محمودًا عند الأدباء والعقلاء لأنّ فيه حفظ صحّة الأبدان وذلك سبب لإصلاح الوجود ولم يتعرّض لذمّته متعرّض من سائر المُلك,فلمّا فهمت علم الطبّ وعرفت فضله وشكرت لأبوي وفضلهما ورأيهما في ذلك ورغبت في علم الطبّ وحرصت عليه حتّى إذا أحطت به علمًا وأحررته فهمًا وبلغت منه ما تمنّت نفسي أقبلت على مداواة المرضى وهممت بذلك أمرت نفسي بالأمور التي إيّاها يطلب الناس وإليها يسعون,فلمّا بلغت أن أعرف أمور الطبّ وفضله شكرت لأبويّ رأيهما في ذلك ورغبت في تعليم الطبّ وحرصت عليه حتّى شددت منه علمًا وبلغت ما تمنّت نفسي على مداواة المرضى وهممت بذلك ثمّ أمرت نفسي وخيّرتها من الأمور الأربعة التي إيّاها يطلب الناس ويسعون إليها
5,7bca0745-e028-432f-ac62-024436d9ca39,The Four Objects of Human Pursuit,فقلت أيّ هذه الحلال ينبغي لمثلي أن يلتمس وأيّها أحرى إن هو بغاه أن يدرك منه حاجته,فقلت إنّ هذه الخلاق لمثلي في مثل علمي أن يطلب ولها أحرى إن هو طلب أن يدرك منه حاجته المال أم اللذّات أم الصوت أم إحراز الأجر,فقلت يا نفسي أيّ هذا الخلال الأحوال ينبغي لمثلي في مثل علمه أن يطلب وأيّها أحرى إن هو يطلبه أن يدرك منه حاجته المال أم اللذّات أم الصوت أي الحسن الذكر أم أمر الآخرة,فقلت ما هذه الخلال ينبغي في علمي وكنت وجدت في كتب الطبّ أنّ أفضل الأطبّاء من واظب على طبّه لا يبتغي بذلك الآخرة فرأيت أن أطلب الاشتغال بالطبّ ابتغاء الآخرة,فقلت أي هذه الحالة ينبغي لي في مثل علمي أن أطلب وأيّها أحرى بي فأدرك منه حاجتى المال أم اللذّات أم الذكر أم أمر الآخرة,وقلت هي نفسي أيّ هذه الخصال ينبغي لمثلي في مثل عقلي أن يطلب المال أم اللذّات أم الصواب,,وقلت أيّ الخلال ينبغي لمثلي في عملي أن يطلب وأيّها أحرى إن هو طلبه أن يكون أصوب المال أم اللذّات أم اتّحاد الإخوان أم أمر الآخرة,فقلت إنّ هذه الأربعة ينبغي لمثلي في عقلي أن يطلب وأيّها أجزى إن هو طلب أن يدرك منها حاجته المال أم اللذّات أم الصيت أم أمر الآخرة
6,3b37e06b-3600-449b-9b44-2295cc4ba3be,Seeks the Reward of the Hereafter,واستدللت على المختار من ذلك فوجدت الطبّ محمودًا عند العقلاء,فاستدللت على الاختيار من ذلك بأن وجدت الطبّ محمودًا عند كلّ أحد من الناس والأديان والملوك ووجدت في كُتُب الطبّ أنّ أفضل الأطبّاء من واظب على طبّه ولا يبتغي بذلك إلّا أجر الآخرة ولا ابتغى بذلك ثمنًا فرأيت أنّي أوظب على الطبّ,فاستدللت على الخيار من ذلك فوجدت الطبّ محمودًا عند العقلاء,,فاستدلّلت على الخيار في ذلك فإنّي وجدت,,,فاستدللت على الخيار منها ما وجدته محمودًا عند العقلاء,فاستدللت على الجسد من ذلك أنّي وجدت الطبّ محمودًا عند العقلاء
7,41781bda-7b67-4cd0-9010-0b6471557575,The Virtue of Practising Medicine,ولم أجده مذمومًا عند أحد من أهل الأديان والملل وأصبت في كتبهم أنّ أفضل الأطبّاء من واظب على طبّه لا يريد بذلك إلّا الآخرة فرأيت أن أواظب عليه أبتغي ذلك ولا ألتمس له ثمنًا,,ولم أجده مذمومًا عند أحد من أهل الأديان والملل,,ولم أجده مذمومًا عند أحد من أهل الأديان والملك ووجدت في كُتُب الطبّ أنّ أفضل الأطبّاء من واظب على طبّه لا يبتغي بذلك إلّا الآخرة فرأيت أنّ من واظب على الطبّ ابتغاء الآخرة,ولم أجده مذمومًا عند أحد من أهل الأديان والملل وجدت في كُتُب الطبّ من واظب على طبّه ولم يبتغ بذلك إلّا أجر الآخرة وأن لا يبتغي بذلك ثمنًا,,ولم أجده مذمومًا عند أحد من أهل العلم وعند جميع الملل فوجدت في كتب الطبّ أنّ أفضل الأطبّاء من واظب نفسه على طبّه ولا يطلب بذلك إلّا أجر الآخرة فعزمت على الطبّ ابتغاء طلب الآخرة لا ابتغي لذلك ثمنًا,ولم أجده مذمومًا عند أحد من أهل الأديان ووجدت في كُتُب الطبّ أنّ أفضل الأطبّاء من واظب على طبّه لا يبتغي بذلك إلّا أجر الآخرة ولا يبتغي لذلك ثمنًا
8,d67a22a1-d1de-4424-820b-dd373ba486e6,Selling a Ruby for a Cheap Pearl,ولا أكون كالتاجر الخاسر الذي باع ياقوتة كان مصيبًا من ثمنها غنى الدهر بخرزة لا تساوي شيئًا,فأكون كالتاجر الخاسر الذي باع ياقوتة كان مصيبًا من ثمنها غنى دهره بخرزة لا تساوي شيئًا,,كالتاجر الذي باع ياقوتة ثمينة بجوزة,كالتاجر الخاسر الذي باع ياقوتة كان مصيبًا من ثمنها على الدهر بخرزة لا تساوي شيئًا,فيكون كالتاجر الخاسر الذي باع ياقوتة كان مصيبًا فيها غنى دهره بخرزة لا تساوي شيئًا,,كالتاجر الذي باع جوهره وكان مصيبًا من ثمنها غناء الدهر لا يساوي شيئًا,فيكون كالتاجر الذي باع ياقوتة نفيسة كان مصيبًا من ثمنها عناء الدهر بخرزة لا تساوي شيئًا
9,49d30519-ae6c-435b-aa2d-3ce956b899e9,The Profession of Medicine Benefits Both in This World and the Hereafter,ووجدت في كتبهم أيضًا أنّ الطبيب المبتغي بطبّه أجر الآخرة لا ينقصه ذلك من حظّه في الدنيا,مع أنّني وجدت في كُتُب الطبّ أنّ الطبيب المبتغي بطبّه أجر الآخرة لا ينقصه ذلك من حظّه في الدنيا,ووجدت في كُتُب الطبّ أنّ الطبيب المبتغي بطبّه أجر الآخرة لا ينقصه ذلك في الدنيا من حظّه,وذلك أنّي لمّا وجدت في كتب الأوّلين أنّ الطبيب الذي يبتغي بطبّه أجر الآخرة لا يمنعه حظّه من الدنيا,مع أنّي وجدت في كُتُب الأوّلين أنّ الطبيب الذي يبتغي بطبّه أجر الآخرة لا ينقصه ذلك من حظّه في الدنيا,مع أنّي وجدت في كُتُب الطبّ أنّ الطبيب الذي يبتغي بطبّه أجر الآخرة لا ينقصه ذلك من حظّه في الدنيا,ووجدت من أفضل كلام الأفاضل من الأطبّاء أنّ معالجة ذوي الأمراض من غير طلب شيء من غرض الدنيا هي الغاية القصوى لمن طلب ثواب الآخرة,مع أنّي وجدت في كتب الطبّ أنّ الطبيب المبتغي بطبّه أجر الآخرة لا ينقصه ذلك من حظّه في الدنيا,ووجدت الطبيب في كُتُب الطبّ المبتغي بطبّه أجر الآخرة لا ينقصه ذلك من حظّه في الدنيا
10,b68a7086-a316-4a8f-a592-00acffd894e3,A Farmer Harvests Weeds Along with the Wheat,فإنّما مثله في ذلك مثل الحرّاث الذي ينثر أرضه ويعمّرها ابتغاء الزرع لا العشب ثمّ هي لا محالة نابت فيها ألوان منه,وأنّ مثله في ذلك مثل الزارع الذي إذا بذر في الأرض وعمّرها ابتغاء الزرع والعشب لا محالة نابت فيها العشب,وإنّ مثله في الدنيا مثل الزارع إنّما يؤثر الأرض ويعمّرها ابتغاء الحبّ لا ابتغاء العشب,إنّما مثله مثل الزارع الذي,فإنّ مثله كمثل الزارع إنّما ينثر وينقّي أرضه ويعمّرها لابتغاء العشب,وأنّ مثله في ذلك مثل كمثل الزارع الذي أنّما ينثر البذر في الأرض ابتغاء الزرع لا ابتغاء العشب ثمّ هي لا محالة ثابتة فيها فأقبلت على,,وأنّ مثله في ذلك مثل الزارع إنّما ينثر الأرض ويعمّرها ابتغاء الربح لا ابتغاء العشب ثمّ هي لا ابتغاء العشب ثمّ هي لا محالة نابت فيها ألوان العشب ممّا لا يحصى,وإنّ مثله في ذلك مثل الزارع الذي إنّما يثير الأرض ويغمرها
