unit_order,unit_id,unit_title,IH,R2536,P3471,CCCP578,P3475,Met-1981.373,A4095,L8751,Cheikho,L4044,P3466,P3465,P3473,R2407,JBE-Hebrew,JBE-MSH-Eng,P5881
1,98cc0341-3d81-4a5f-bf79-19731e64dea0,Chapter Title,|باب |البحث عن أمر دمنه,باب البحث عن أمور دمنة,باب الفحص عن أمر دمنة,باب البحث عن أمر دمنة,باب البحث عن أمر دمنة,باب الفحص عن أمر دمنة,باب الفحص عن أمر دمنة,باب الفحص عن أمر دمنة وما كان وعذره مع الأسد وهو الباب الخامس,باب الفحص عن أمر دمنة,باب الانبحاث عن أمر دمنة,باب الفحص عن أمر دمنة,باب الفحص عن أمر دمنه,الباب الرابع باب البحث عن أمر دمنة,الباب الثاني وهو باب البحث عن أمر دمنة,שער חקור בעד דברי דמנה,,باب الفحص عن أمر دمنة
2,59711c22-7b14-41b7-ad76-a1d135c18cda,On Seeking One's Benefit by Others' Harm,,,وهو باب من أراد منفعة نفسه بضرّ غيره إلى ما يصير عاقبة أمره,,وهو باب من أراد منفعته بضرّ غيره إلى من يصير عاقبة أمره,,,,وهو باب من أراد منفعته بضرّ غيره إلى *ما يؤول إليه أمره,,,,,وهو مثل من يطلب المنفعة لنفسه بضرر غيره ويُهلك البريء بالقذف والكذب,,,
3,b3602c66-ec2c-4263-9745-f0d0d4c67677,Frame Dialogue,,,,,,,,,,,,,,,,,
4,04aed540-9d09-45e8-bfa2-dc8380ee79ce,The Philosopher Shows a Minor Animal to Sow Discord,,,,,,,,,,,,,,,,,قال الفيلسوف فكان من صنيع دمنة على صغره وضعفه وهو من أرذل السباع وأخبثها وأدبرها وكان ممّن شأنه ما قد سمعته وما صنع وما طرح بين الأسد والثور وما شعث بينهما حتّى وثب كلّ واحد منهما على صاحبه حتّى قطع ودّهما
5,9c13a18e-cc49-482e-bc05-d06605c3b8c6,Dimna's Deed Makes the Intelligent Reflect,,,,,,,,,,,,,,,,,وصنع العجائب بينهما ما تذهل عنه العقول [وذوي] *والألباب وفيه عبرة لذوي العقول في *الاتقاء لأهل النميمة والنظر فيما يوردون من تعبهم ومكرهم وسعايتهم
6,e39b3279-de87-41be-91ad-0f51daad806a,The Intelligent Must Verify Statements,,,,,,,,,,,,,,,,,فذووا الألباب حقيقون أن يتحفّظوا عن الأشياء المذمومة ثمّ لا يقدموا على شيء من أقاويلهم إلّا بعد التثبّت والنظر ويرفضوا من عرفهم على مثل ذلك من أهل السعاية والنميمة فإنّه من أحزم الرأي وأسعد السعادة وأحمد في عواقب الأمور
7,e3323699-ba55-4cfd-8a70-32784de2101a,The King Asks about Dimna's Fate,|فقال فاذكرْ لي قتلَ دمنَهْ ### يا بيدبا مِن بعدِ هذي الفتنَهْ,قال الملك للفيلسوف قد فهمت هذا المثل عن الواشي المحتال [[هذا المثل عن]] حيث أفسد اليقين بالشبهة حتّى أزال المودّة وجعل مكانها العداوة والبغضاء حتّى ما كان من أمر دمنة بالاعتذار حين أمر الأسد بقتله,قال الملك الفيلسوف أخبرني ما كان عذر دمنة حين أمر الملك فقتله,ثمّ قال ديشلم الملك لبيديا الفيلسوف حدّثْني عن الواشي المحتال الماهر بالخلابة المفسد الودّ الثابت بين المتحابّين وفيما قال دمنة بعد قتل شتربة في غدرٍ حتّى برّأ نفسه من الذنب حتّى صدّقه الأسد وسائر جنده ووثقوا به وبقوله فقُتل أشرّ قتلة,قال ديشلم الملك لبيدبا الفيلسوف أخبرني ما الذي كان من اعتذار دمنة حين أمر الأسد بقتله وكيف ظهر ذلك في أمر,قال الملك للفيلسوف قد فهمت كلامك فأخبرني ما كان من اعتذار دمنة [[حتّى]] {حين} أمر الأسد بقتله,قال ديشلم ملك الهند *لبيدبا الفيلسوف قد سمعت خبر الواشي المحتال الماهر بالخلابة كيف يفسد بتشبّهه وتلبيسه الودّ الثابت بين المتحابّين فأخبرني إلى ما آل إليه أمره وما كانت عاقبته,قال الملك للفيلسوف أخبرني ما كان عذر دمنة حين أمر الأسد بقتل شتربة,قال الملك للفيلسوف قد سمعت حديثك في مِحال العدوّ المحتال كيف أفسد اليقين بالشبهة حتّى أزال المودّة وأدخل العداوة فحدّثني إن رأيت كيف اطّلع الأسد على ذنب دمنة حتّى قتله وكيف كانت معاذيره ودفعه عن نفسه,قال الملك للعالم قد سمعت حديثك عن الواشي المختال الماهر بالخلابة كيف أفسد النفس بالشبهة حتّى أزال المودّة وأدخل مكانها العداوة فحدّثني ما كان من معذرة دمنة للأسد وجنوده حتّى راجع الأسد رأيه في أمر الثور وأدخل التهمة على دمنة وأمر به أن يُقتل شرّ قتلة وكيف اطّلع على عدوّه وما كان حجّته التي أدلى بها,قال ديشلم الملك لبيدنا الفيلسوف رأس الفلاسفة قد حدّثتني عن الواشي الماهر بالخلابة وكيف يفسد الودّ بين المتحابّين فحدّثني إن رأيت ما قال دمنة بعد قتل شتربة وما كان عذره إلى ما صار إليه دمنة,قال ديشلم الملك لبيديا الفيلسوف قد حدّثتني عن الواشي الماهر بالمحال كيف يفسد بالنميمة المودّة الثابتة بين المتحابّين فحدّثني إن رأيت بما كان من حال دمنة وإلى ما آل *مآله بعد قتل شتربة <وما> كان من معاذيره عند الأسد وأصحابه حين راجع الأسد رأيه في الثور وأدخل النميمة على دمنة وما كانت حجّته التي احتجّ بها,قال ديشلم الملك لبيدبا الفيلسوف قد حدّثتني عن الفاجر الماهر القادر كيف يفسد بالنميمة والمكر الودّ الثابت بين المتحابّين فحدّثني ما يؤول أمر الرامي بينهما إذا اتضّح سعيه بالباطل,قال ديسلم الملك لتنديا الفيلسوف قد حدّثتني عن الفاجر الماكر الغادر كيف يفسد بالنميمة والمكر الودّ الثابت بين المتحابّين فحدّثني ما يؤول إليه أمر الواشي بينهما إذا اتضّح سعيه بالباطل,ויאמר׳ המלך לדוד הכמות כבר בינתי משליך על הנרנן המשחית. אשר יוכל להפר בין אחים ברית. המסיר מביניהם אהבה. ומשים תחתיהם איבה. ועתה הגירה לי מענה דמנה וחרמיתו. בעת צוה האריה להמיתו.,,قال ديشلم لبيدبا رأس الفلاسفة أخبرني عن الواشي المحتال الماهر في الخيانة كيف يفسد الودّ الثابت بين المتحابّين وحدّثني كيف كان غدر دمنة للأسد حتّى قتل الثور وما كانت حجّته عنده إلى ما صار إليه أمره وكيف اطّلع على فعله وسوء تدبيره وحيله ومكره
8,a3a8e80d-f7ff-4d90-8295-174ceff072d0,The Philosopher Mentions Dimna's Trial Parable,,,,,,,,,,,,,قال الفيلسوف إنّ الفاجر الغادر الساعي بالنميمة والكذب ليكون عاقبة أمره إلى ما يكره ومن أمثال ذلك ما كان من دمنة بعد قتل شتربة وندامة الأسد عليه حين مراجعته لرأيه ونظره في أمره وإطّلاعه على غدر دمنة من حجّته ومناظراته له,قال الفيلسوف إنّ الفاجر الغادر الساعي بالنميمة والكذب تكون عاقبة أمره إلى ما يكره ومن أمثال ذلك ما كان من دمنة بعد قتل شتربه وندامة الأسد عليه وحين راجع رأيه ونظر في أمره واطّلاعه على غدره وما كان حجّته ومناظرته,,,
9,d71b9861-5fbe-42af-916f-ad8e72329ede,The King Requests the Parable,,,,,,,,,,,,,قال الملك وكيف كان ذلك,قال الملك وكيف كان ذلك,,,
10,da6355bd-d16b-4829-bb87-0e8d4bf621bc,The Philosopher's Answer About the King's Killing,|قال نعمْ لمّا استبانَ كذِبُهْ ### عند الهُمامِ كانَ فيهِ عَطَبُهْ,قال الفيلسوف أيّها الملك بلغنا أنّ الأسد لمّا قتل شتربة ومرّ لذلك أيّام ندم على معالجته إيّاه بالقتل وكان يطيل مسامرة أصحابه عليه ليستسلي عن غمّه,قال الفيلسوف بلغنا أنّ الأسد لمّا قتل شتربة ومضى لذلك أيّامًا,قال بلغنا أنّ الأسد لمّا قتل شتربه ومرّ لذلك أيّام خرج النمر ذات يوم وكان معلّم الأسد وخالصته وأمينه في أموره,قال بيدبا الفيلسوف بلغنا أنّ الأسد لمّا قتل الثور مضى لذلك أيّام,قال الفيلسوف بلغنا أنّ الأسد لمّا قتل شتربة ومرّ عليه أيّام ندم على معاجلته إيّاه بالقتل وكان يطيل مسامرة أصحابه,قال بيدبا إنّا وجدنا في الكتب أنّ الأسد لمّا قتل شتربه ومرّ لذلك أيّامٍ,فقال الفيلسوف بلغنا أنّ الأسد لمّا قتل شتربة ومرّ لذلك أيّامًا,قال بيدبا الفيلسوف إنّا وجدنا في كتب خبر دمنة أنّ الأسد لمّا قتل شتربة ندم على معاجلته بالقتل وتذكّر حرمته,قال الفيلسوف وجدنا في الأحاديث أنّ الأسد لمّا قتل الثور ندم على معاجلته إيّاه وذكر حرمته وصحبته وكان يطيل مسامرة أصحابه ليقطع عن نفسه بحديثهم بعض ما دخله من الحزن والكآبة,قال بيدنا إنّا وجدنا في كُتُب دمنة واعتذاره أنّه لمّا قتل شتربة كان الأسد يطلب منادمة أصحابه ليقطع بذلك عنه بعض همّه,قال الفيلسوف [إنّا] {وجدت} في حديث دمنة أنّ الأسد حين قتل شتربة ندم على قتله وذكر قديم صحبته وجسيم خدمته وأنّه كان أكرم أصحابه عليه وأخصّهم منزلة لديه وأقربهم وأدناهم إليه وكان يوصل به المشورة دون أصحابه,قال الفيلسوف إنّ الأسد لمّا قتل شتربه ندم على قتله وتذكّر عقله وحسن صحبته خدمته ورأيه وكونه كان أكرم أصحابه عليه,قال الفيلسوف إنّ الأسد لمّا قتل شتربه ندم على قتله وذكر صحبته وعقله وحسن رأيه وخدمته لكونه كان من جملة أصحابه وقريبًا منه,ויאמר דוד הכמות אמרו כי האריה אחרי המיתו את שנזבה. נהם על מהרו להמיתו בלי חקור ובלי מחשבה. ויזכור את ידידותו. ויאנח על פרידותו. ויאסוף אליו אלף ידידים. ורבוא עברים. להיות אחד מהם כשנזבה ידידו ועבדו. ולא מצא עזר כנגדו.,,قال إنّه لمّا قتل الأسد الثور ندم على قتله وعلى عجلته في أمره وتذكّر خدمته له ونصيحته إيّاه وما كان يطيل حديثه مع أصحابه ليقطع عنه ما يداخله من الحزن والكآبة على قتل الثور
