unit_order,unit_id,unit_title,P3465,P2789,H170,R2407,P3473,BWII672,P3466,T2281,P3471,P5881,I344,P400,P3475,A4095,L8751,L4044
1,8a87ff6f-9ff3-4070-a422-eaf6cf058608,Chapter Title,(باب عرض الكتاب ترجمة عبد الله بن المقفّع),باب الغرض من هذا الكتاب ما ترجمه ابن المقفّع,باب ابن *المقفّع هذا كتاب كليلة دمنة,غرض الكتاب ترجمة عبدالله بن المقفّع كتاب كليلة ودمنة,الباب الأوّل باب عبد الله ابن المقفّع لهذا الكتاب ومدحه وما يتعلّق به,,باب غرض الكتاب ترجمه عبدالله بن المقفّع,باب عرض الكتاب ... أبو المعالي عبد الله بن المقفّع هذا الكتاب كتاب كليلة ودمنة,باب عبد الله بن *المقفّع الذي ترجم هذا الكتاب من الفارسيّة إلى العربيّة بسم الله الملك العظيم هذا كتاب كليلة ودمنة,,بسم الله الرحمن الرحيم وبه ثقتي هذا كتاب فيه كليلة ودمنة الحمد الله ربّ العالمين والصلاة والسلام على سيّدنا محمّد وعلى آله وصحبه وسلّم وبعد,الباب الأوّل في ذكر ابن المقفّع الذي ترجم به هذا الكتاب وهو كتاب كليلة ودمنة من الفارسيّة إلى العربيّة,,,,(كتاب كليلة ودمنة)
2,5a8c80bd-47a6-4854-9aa7-bb9a19491b14,Baydaba's Composition,,,,,,,,,,,,,,,,
3,5b2b4acb-2d9c-47c5-ab6f-d748af40bdc8,Ibn al-Muqaffa' Describes the Book,,,,,قال عبد الله ابن المقفّع رحمه الله تعالى هذا الكتاب الموسوم بكليلة ودمنة وهو من أجلّ كتب الحكمة وأنفعها وأعجبها حكمة وأمثالًا لم يأت أحد في الدهر بمثله يزيد ذا الفهم معرفة وعقلًا وحكمة وينبّه الغرّ الجاهل على مداخلة الخير والشرّ عليه من صديقه وعدوّه وعلى التخلّص من حبالة ذوي الحيل والتوصّل إلى قصده بلطائف الأمثال,,,,,,,,,,,
4,5d612c2d-8898-4e22-abe2-27dd0772d9fa, Parables Originated with Scholars of India,هذا كتاب كليلة ودمنة وهو ممّا وضعــته علماء الهند من الأمثال والأحاديث التي أُلهموا أن يُدخلوا فيها أبلغ ما وجدوا من القول في النحو الذى أرادوا,هذا كتاب كليلة ودمنة وهو ممّا وضعته علماء الهند من الأمثال والأحاديث التي أُلهموا إليها أن يُدخلوا فيها أبلغ ما وجدوا من القول في النحو الذي أرادوا,وهذا ما وضعته علماء الهند من الأمثال والأحاديث التي أُلهموا أن يُدخلوا فيها أبلغ ما وجدوا من القول في النحو الذي أرادوه,وهو ما صنعه علماء الهند من الأمثال والأحاديث التي أُلهموا بها وأن يُدخلوا فيها أبلغ ما وجدوا من القول في الذي أرادوا,وهو ممّا وضعته علماء الهند وحكماؤها لملوكها مثالًا,قال عبد الله ابن *المقفّع الغرض في كتاب كليلة ودمنة وهو ما صنعوه علماء الهند من الأمثال والأحاديث التي أُلهموا بها وأنّهم دخلوا فيها بأبلغ ما وجدوه من *الأقوال والأمثال الذي أرادوها,هذا كتاب كليلة ودمنة وهو ممّا وضعته علماء الهند من الأمثال والأحاديث التي أُلهموا أن يُدخلوا فيها أبلغ ما وجدوا من القول في النحو الذي أرادوا,وهو بما وصفته علماء الهند من الأمثال والأحاديث التي أُلهموا أن يُدخلوا فيها بأبلغ عبارة وأملح إشارة من نحو ماحسن عندهم على قدر ما انتهى إليه فضلهم,وهو ما وضعه علماء الهند من الأمثال والأحاديث والتمسوا أن يُدخلوا فيها أبلغ ما يجدون من القول في النحو الذي أرادوا,وهو ما وضعته حكماء الهند على الأمثال والأحاديث التي نظموها وجعلوا فيها أبلغ ما وجدوه من الكلام في النحو الذي أرادوه والعلم الذي اختاروه,فهذا ممّا وضعه أهل الهند,وهو ممّا وضعته علماء {الهند} من أمثال وأحاديث وأعاجيب والتمسوا أن {يُدخلوا فيها} أبلغ ما يجدوا من القول في النحو الذي أرادوا,,هذا كتاب كليلة ودمنة وهو ممّا وضعته علماء الهند من الأمثال والأحاديث التي التمسوا بها أبلغ ما يجدون من القول في النحو الذي أرادوا,وهو مَّما وضعته الحكماء حكماء الهند من الأمثال والأحاديث التي التمسوا بها أبلغ ما يجدون من القول في النحو الذي أرادوا,وهو ممّا وضعت أهل الهند من الأمثال والأحاديث الذي التمسوه أن يُدخلوا فيها أبلغ ما وجدوا من الكلام في النحو الذي أرادوا
5,7754d596-f32e-425c-a7f1-7d88336ed912,Scholars Desire to Be Understood,ولم تزل العلماء من أهل كلّ ملّة يلتمسون أن يُعقل عنهم,ولم تزل العلماء والحكماء في كلّ ملّة وأهل كلّ مكان يلتمسون أن يُنقل عنهم,ولم تزل العلماء والحكماء من أهل كلّ ملّة يلتمسون أن *يُعقل عنهم,ولم تزال العلماء في كلّ ملّة وكلّ مكان يلتمسون أن يُعقل عنهم ويُقتبس منهم,يقتبسون منه أنواع السياسة للمُلك ويستخرجون منه أنواع الحيل في إيصال المنفعة إلى الأصدقاء والمضرّة والهلاك إلى الأعداء بلطائف الحيل,ولم تزال العلماء في أهل كلّ ملّة في كلّ زمان يلتمسون أن يُعقل عنهم ويُقتبس منهم,ولم تزل العلماء من أهل كلّ ملّة وكلّ لسان يلتمسون أن يُعقل عنهم,ولم يزل العلماء من أهل كلّ ملّة وكلّ لسان يلتمسون أن يُفعل,ولم تزل العقلاء من كلّ أمّة وأهل كلّ لسان يلتمسون أن يُعقل عنهم,فلم تزل العلماء من كلّ أمّة وأهل كلّ لسان يلتمسون أن يُنقل عنهم ذلك ويُنقل من عندهم,لأنّ الأوّلين من الملوك والحكماء وأهل العقول من كلّ ملّة ولسان لم يزالوا يلتمسون إحياء العلم وتربية الحكمة,ولم تزل {العقلاء من كلّ أمّة} وأهل كلّ لسان يلتمسون أن يُعقل عنهم,ثمّ إنّ الملوك الأوّلين والحكماء وأهل العقول من أهل كلّ ملّة وأهل كلّ لسان لم يزالوا يلتمسون إحياء العلم وتربية الحكمة,ولم يزل العقلاء من أهل كلّ زمان يلتمسون أن يُعقل عنهم,ولم تزل العقلاء من أهل كلّ زمان يلتمسون أن يُنقل عنهم,ولم تزل العلماء من كلّ أمّة وأهل كلّ لسان يلتمسون أن يُعقل عنهم
6,79524841-4930-445a-83b9-a29198ac16cb,Scholars Commit to Debate and Prefer It,,,,,,,,,ويُلزمون أنفسهم العناية بذلك ويناقض بعضهم البعض,,ويُلزمون أنفسهم العناية بذلك والاجتماع له ومناقضة بعضهم بعضًا فيه ويؤثرونه على كلّ ما شغل به الناس أنفسهم من الملاهي واللذّات لا يرون شيئًا ممّا يتشاغلون به أعظم من الأجر وأجزل في الثواب ممّا شغلوا به أنفسهم,{ويأمروا أنفسهم} العناية بذلك وتناقص بعضهم بعضًا جعلوا بذلك فضل مرادهم,ويُلزمون أنفسهم التعب والاجتماع على مناقضة بعضهم بعضًا ويؤثرونه على كلّ شيء أُشغل به الناس من الملاهي واللذّات ولا يرون شيئًا ممّا شغلوا به أنفسهم أعظم في القدر ولا أجزل في الأمر ممّا شغلوا به أنفسهم,,,
7,4a8b99af-135a-45f1-9e39-1cc5ca798ad7,Scholars Record Knowledge,,,,,,,,,,,وأدقّوها لهم من ذلك فوضعوا لكلّ ما أدركوا من ذلك وبلغوه بطول أعمارهم وفكرتهم وتجاربهم وشدّة عنايتهم ولما تنافعوا به من الأمثال والأشباه والنظائر,فصنعوا ما أرادوا من ذلك *وبلغوه بطول أعمارهم وصفو أفكارهم,وأربوها لهم من ذلك وبلغوه بطول أعمارهم وفكرهم وتجارتهم وشدّة عنايتهم ولما تناقضوا فيه من ?الأقتال والأشباه,,,
8,b6de7509-284c-40bd-a87e-1bf3c6ce7432,Scholars Put Knowledge in Book of Fables,ويحتالون بذلك بصنوف الحيل ويبتغون في إخراج ما عندهم حتّى كان من تلك العلل وضع هذا الكتاب على أفواه البهائم والطير,ويحتالون في ذلك بصنوف الحيل ويجتهدوا في إخراج ما عندهم حتّى كان من تلك العلل وضع هذا الكتاب على أفواه البهائم والطير,ويحتالون في ذلك بصنوف الحيل ويجتهدون في إخراج ما عندهم حتّى كان من تلك العلل وضع هذا الكتاب على لسان البهائم والطير,ويحتالون لذلك بصنوف الحيل ويبتغون إخراج ما عندهم من العلل حتى كان من تلك العلل وضع ذلك الكتاب على ألسن البهائم والطير,ومن حيث لا يعلمون كيف موارد ذلك ومصادره على ألسنة *الحيوانات *والبهائم والسباع والطير,ويحتالون بذلك في صنوف الحيل ويبتغون في إخراج ما عندهم من نوادر الأمثال حتى ألّفوا مثل ذلك الكتاب على ألسن البهائم والطير والوحش,ويحتالون لذلك بصنوف الحيل ويبتغون في إخراج ما عندهم من العلل حتّى كان من تلك العلل وضع هذا الكتاب على أفواه البهائم والطير,ويحتالون إلى ذلك بصنوف الحيل إلى أن جرت الأسباب إلى حكماء الهند ما *أُلهموا إليه وصنعوا هذا الكتاب على أفواه البهام والطير,ويحتالون في ذلك بصنوف الحيل ويبتغون في إخراج ما عندهم من العلل حتّى كان من ذلك وضع هذا الكتاب على أفواه البهائم والطير,ويحتالون لذلك بضروب من الحيل في إخراج ما عندهم وإظهار ما لديهم من العلوم والحكم حتّى كان من تلك العلوم وصنوف الأدب ما صُنع ببليغ الكلام واشتُقّ ذلك على أفواه البهائم والوحش والطير,واتّبعوا لإخراج ما أرادوا منه أسبابًا وولّدوا له كلامًا محكمًا بحجج به صحيحه وأمور ثابتة وثيقة ونسبوا أكثر أمثالهم في ذلك إلى السباع والطير والبهائم والوحوش,فكان من ذلك ما وصفوه على البهائم والطير,وابتغوا لإخراج ما أرادوا منه أسبابًا وولّدوا له كلامًا محكمًا بحجج قوية صحيحة وأمور ثابتة وثيقة ونسبوا أكثر أمثالهم في ذلك إلى السباع والطير والبهائم والوحش,ويحتالون لذلك بصنوف الحيل ويطلبون في إخراج ما عندهم من العلل فدعاهم ذلك إلى أن وضعوا هذا الكتاب ولخّصوا فيه من بليغ الكلام ومنفعته على أفواه الطير والبهائم والسباع,ويحتالون لذلك بصنوف الحيل ويطلبون في إخراج ما عندهم به من العلل فدعاهم الي ذلك أن وضعوا هذا الكتاب ولخّصوا فيه من بديع الكلام ومنفعته على أفواه البهائم والطير والسباع,ويحتالون لذلك بصنوف الحيّل ويبتغون في إخراج ما عندهم من العلل حتى كان من تلك العلل وضع بليغ الكلام ومنمّقه على أفواه البهائم والطير
9,0af2a0ae-16a5-4948-808d-a09702639c80,Fables Facilitate Many Types of Discourse,فاجتمع لهم بذلك خلال أمامهم فوجدوا منصرفًا في القول وشعوبًا فأمّا هو فجمع حكمة,فاجتمع لهم من ذلك خلال منها أنّهم وجدوا متصرّفًا في القول وشعوبًا يأخذون منها وأمّا الكتاب فإنّه جمع حكمة وعلومًا,فاجتمع لهم بذلك خلال منها أنّهم وجدوا منصرفًا في القول وشعوبًا يأخذون منها وأمّا الكتاب فجمع حكمة وعلومًا,فاجتمع لهم بذلك خلال أمامهم فوجدوا مصرفًا في القول وشعبًا يأخذون فيها وأمّا الكتاب فجمع أن يكون لهوًا وحكمة فاجتناه ***,مشحونة بالحكم ليرغب فيه الغرّ تلهيًّا بظاهره والعاقل تمتّعًا بباطنه,فاجتمع لهم بذلك معاني خفيّة باطنها غير ظاهر وظاهرها غير باطنها وشعوبًا يأخذون منها المعاني البليغة لهوًا وحكمة فجناه من جنى على قدر أدبه وذوقه,فاجتمع لهم بذلك خلال [[بذلك]] فوجدوا متصرفًا في القول وشعوبًا يأخذون فيها وأمّا هو فجمع أن يكون لهوًا وحكمة,واجتمع لهم بذلك جلال يُستفاد بها التاج العود إلى الأفكار,واجتمع لهم بذلك جلال العقول ووجدوا فيه متصرّفًا وشعوبًا وقصدوا أن يكون لهوًا وحكمة,فاجتمع لهم بذلك خلال الفضل فوجدوا في ذلك متصرّفًا في القول ووجوهًا يأخذون فيها فجمع أن يكون لهوًا وحكمة,فاجتمعت لهم من ذلك ثلاث خلال أمّا إحداهنّ فإنّهم وجدوا منصرفًا في القول وشعوبًا يأخذون فيها لما أرادوا أن يستخلصوه ممّا وثّقوا به قولهم وصحّحوا به حججهم,فاجتمع لهم أمران أمّا هم فوجدوا متصرّفًا في القول وشعوبًا يأخذون فيها وأمَّا هو فجمع أن يكون لهوًا وحكمة,فاجتمعت خصال ثلاث فإمّا !أحديها فإنّهم وجدوا منصرفًا في القول وشعوبًا يأخذون بها لما أرادوا أن يخلّصوه ممّا وثّقوا به قولهم وصحّحوا به حجّتهم,فاجتمع لهم من ذلك أمران أمّا هم فوجدوا متصرّفًا في القول وسعها يأخذون فيها وأمّا هو فجمع لهو وحكمة,واجتمع لهم من ذلك أمران أمّا هم فوجدوا متصرّفًا في القول ... فيها وأمّا هو فجمع لهوًا,فاجتمع لهم بذلك خلال أمّا هم فوجدوا منصرفًا في القول وصوبًا يأخذون فيها ولهوًا وحكمة
10,e97f93e8-fa0f-410a-a6dd-b7f8af09080a,Farmer Works Land for Yield Not Weed,,,,*** مثله في ذلك مثل الزارع الذي إنّما يبرّ أرضه ويعمّرها ابتغاء للزرع لا ابتغاء العشب وهي لا محالة نابت العشب فيها وصنوفه,وإنّ مثله في ذلك ومثل واضعيه كمثل الزارع إنّما يصلح أرضه ويعمّرها ابتغاء لمنفعة ما يزرعه لا لابتغاء العشب ثمّ هي لا محالة نابت فيها صنوف العشب,وإنّ مثله كالزارع الذي حرث أرضه وعمّرها لابتغاء الزرع لأجل العشب والكلأ والثمر فنابت فيها الأعشاب بصنوفها,,,,,,,,,,
