unit_order,unit_id,unit_title,P3465,P3473,BWII672,R2536,I344,P3471,P400,P3475,CCCP578,P5881,A4095,L8751,B0022,P3466
1,9f6dc77c-4e12-411e-a829-bd3bb086c12c,Chapter Title,باب بلاد وإيلاد وابراخت,الباب [[الثالث]] الرابع عشر باب مَلك الهند وإيلاذ وبيلاذ,الباب العاشر باب إيلاد وبيلاد وإبرخت,باب مَلك الهند ووزيره بلاذ وجاريته هليث وهو باب الحلم,باب سادرم الملك وبلاد وزيره وصنبت امرأته وهو باب الحلم,باب إيلاد وملك الهند وإبراخت وهو باب الحكم,باب بلار وابرخت,باب ملك الهند وبلاد وإبلاد وبراخت وباب الحلم,باب بلاد وابلاد,باب بلاد وإيلاد,باب ابلاد بلاد وشادرم مَلك الهند,باب إلاد وشادِرِمْ ملك الهند وهوّ الباب التاسع,باب بلاذ وبلاذ,باب إيلاذ وبلاذ
2,27e98ff6-4ed9-4d86-ad7f-b32922f69443,Abstract,,,وهو مثل ما أحقّ الأشياء بالمَلك أن يُلزم بها نفسه ويحفظ بها مُلكه,,,,,,,,,,,
3,af7ade27-12de-4af0-8f1c-19fcb9b13f1a,King Understood Previous Chapter,قال ديشلم الملك لبيدنا الفيلسوف قد سمعت هذا المثل,قال المَلك للفيلسوف قد سمعت هذا المثل,قال المَلك ديشلم مَلك الهند لبيديا الفيلسوف قد †هد مثل الأسد وابن آوى وفهمت معناه,قال المَلك للفيلسوف قد فهمت هذا المثل,قال المَلك للفيلسوف قد سمعت هذا المثل,قال الملك الفيلسوف قد فهمت ما ذكرت من أمر العجل غير ?المشايد ولا الناظر في العواقب,قَال المَلك للفَيْلَسُوف قَد فَهمت مَا ذَكَرْت مِنْ أمْر العَجَلَة غير التَأَنّي وَلَا النَاظِر في العَوَاقِب,قال دشلم ملك الهند لبيدبا الفيلسوف قد فهمت ما ذكرت من أمر أهل *الترات,ثمّ قال الملك للفيلسوف قد فهمت ما ذكرت من أمر العجل غير *المتئد والنظر في العواقب,قال المَلك للفيلسوف قد فهمت ما ذكرت من العَجِل *غير المتأنّي ولا الناظر في العواقب,قال المَلك للفيلسوف قد فهمت ما ذكرت في أمر العجل غير المتّئد ولا الناظر في العواقب,قال المَلك للفيلسوف وقد فَهمت مَا ذكرت من أمر العجل غير المتّئد ولا المتثبت في أَمره,قال ديشلم الملك لبيدنا الفيلسوف قد سمعت مثل العدوّ الذي لا ينبغي أن يغتر بعداويه فإذا اغترّ هلك,قال ديشلم الملك لبيدنا الفيلسوف قد سمعت مثل العدوّ الذي لا ينبغي أن يغترّ بعدوّه فإذا اغترّ هلك
4,8dcbe12c-9ee2-441a-bcfd-901938468ae6,King Asks How To Preserve Rule,فأخبرني بأيّ الأشياء أحقّ الملك أن يكرم نفسه ويحفظ سلطانه ويثبّت ملكه بالحلم أم بالمروءة أم بالشجاعة أم الجود,فاضرب لي ما أحقّ الأشياء للملَك أن يلزم بها نفسه ويحفظ مُلكه ويثبّت سلطانه ويكون ذلك رأس أمره وملاكه,فاضرب لي مثل ما أحقّ الأشياء بالمَلك أن يُلزم بها نفسه ويحفظ بها مُلكه,فحدّثني بأيّ الأشياء أجدر أن يكون المَلك أخذًا بها في حفظ نفسه ومُلكه وثبات سلطانه الحلم أم المروءة أم الشجاعة أم الجود,فحدّثني بأيّ الأشياء أجدر بأن يكون المَلك أحدًا به في حفظ نفسه ومُلكه وثبات سلطانه الحلم أم المودّة أم الشجاعة أم الجود,فأخبرني بأيّ الأشياء أجدر أن يكون الملك أجدى في حفظ نفسه وملكه وثبات سلطانه والذي إذا عمل به كرُم على أهل رعيّته وثبّت ملكه وحفظ أرضه الحلم أم المروّة أم الجود أم الشجاعة,فَأخبرنِي مَا الذي إذا عَمل به الملك كَرُم على رَعيَّتِه وَثبَّت مُلكَه وحفظ رضَاه الحِلم أم المُروءة أم الجرأة أم الجُبن,فأخبرني بما يثبّت المُلك وبما يكرم المَلك ويُتّقى عند رعيّته بالحلم أم المروءة أم الجراءة أم الجود,فأخبرني ما الذي إذا فعله الملك كرُم على رعيّته وثبّت ملكه وحفظه أرضه الحلم أم المروءة أم الحركة أم الجود,فأخبرني ما الذي إذا عمل به المَلك أكرم على رعيّته وثبّت مُلكه وحفظ أرضه الحزم أم العقل أم المروءة أم الأخوّة أم الجود,فأخبرني ما الذي إذا عمل به المَلك كَرُم على رعيّته وثبّت مُلكه وحفظ أرضه الحلم أم المروءة أم الجود أم الجرأة,فأخبرني ما الذي إذا عَمل به الملك كرّم رعيّته وثبّت ملكه وحفظ أرضه الحلم أم المرؤة أَم الجود,فأخبرني بأيّ الأشياء الملك حقيق أن يكرم أهل مملكته ورعيّته ويثبّت ملكه ويحفظ أرضه بالحلم أم بالمروءة أم بالشجاعة أم بالجود,فأخبرني إن رأيت بأي الأشياء الملك حقيق أن يكرم أهل مملكته ورعيّته ويثبّت ملكه ويحفظ أرضه بالحلم أم بالمرؤة أم بالشجاعة أم بالجود
5,2acd9325-47f4-424b-af56-81a990914b6c,Philosopher Prioritizes Ḥilm,قال بيدنا إنّ أحقّ ما يحفظ الملك مُلكه بالحلم وبه تثبت السلطنة والحلم رأس الأمر وملاكه وأجود ما كان في الملوك,قال الفيلسوف ينبغي للمَلك أن يلزم نفسه بالحلم,قال الفيلسوف ينبغي للمَلك أن يُلزم نفسه الحلم,قال الفيلسوف إنّ أحقّ ما حفظ به المَلك نفسه ومُلكه وثبّت به سلطانه وكرّم به نفسه الحلم,قال الفيلسوف إنّ أحقّ ما حفظ به المَلك مُلكه ثبّت به سلطانه وكرّم به نفسه الحلم,قال الفيلسوف إنّ أحقّ ما حفظ به الملك ملكه وأفضل ما هو مدرك ذلك به وثبّت به سلطانه وكرّم نفسه العقل ثمّ الحلم لأنّهما رأس الأمور وملاكهما,فَقَال الفَيْلَسُوف إنّ أوصل ما هو مُدرَك به ذَلك الحلم والعقل لأنّهما رَأس الأمر وَملاكِه,قال الفيلسوف إنّ أفضل ما هو مدرك ذلك به الحلم والعقل لأنّهما رأس الأمور وملاكهما,قال الفيلسوف إنّ أفضل ما هو متدرّك به ذلك للعلم والعقل فإنّهما رأس الأمر وملكه,قال الفيلسوف إنّ أفضل ذلك كلّه الحلم والعقل لأنّهما رأس الأمر,قال الفيلسوف إنّ أفضل ما حفظ به المَلك المَلك مُلكه وثبّت به سلطانه وكرّم به نفسه هو الحلم والعقل لأنّهما رأس الأمور ومالكها,قال الفيلسوف إنّ أفضل ما هو مدرك بذلك الحلم والعقل لأنّهما رَأس الأمور ومَلاكه,قال الفيلسوف إنّ أعظم ما يحفظ به الملك ملكه ويثبّت به سلطانه ويكرم به نفسه ويدرك به مصالحه الحلم والعقل لأ نّهما رأس <الأمور> وملاكها,قال الفيلسوف إنّ أعظم ما يحفظ به الملك ملكه ويثبّت به سلطانه ويكرم به نفسه ويدرك به صالحه الحلم والعقل لأنّهما رأس الأمور وملاكها
6,cfeb5dc5-746b-4222-9e89-04dd7b3a1759,Philosopher Adds Consultation,,ومشاورة العلماء والفضلاء وأجود الأشياء لكلّ أحد الحلم ولا سيّما للملوك ذوو القوّة والقدرة,ومشاورة العلماء وأهل الفضل وأنّ أجود الأشياء لكل أحد الحلم ولا سيّما الملوك ذو القوّة والقدرة والبطش,وحافظ الحلم الكرم ومادّة الكرم مشاورة أهل العقل من ورائه وأهل الرفق والعلم وأفضل الأشياء كلّها وخيرها لكلّ أحد الحلم ولا سيّما للملوك خاصّة,فإنّه حافظ العلم والكرم ومادّة الكرم مشاورة أهل العقل والعلم والرفق بالعلم ومن أفضل الأشياء وخيرها لكلّ أحد الحلم ولا سيّما للملوك خاصًّا *ومشاورة أهل العلم والأمانة لإبانة الرأي لهم,وحافظ الحلم والكرم ومادّة الكرم من مشاورة أهل العقل والعلم والرفق بالعمل وأفضل الأشياء وخيرها وأنفع ما *يستمتع به الإنسان الحلم ثمّ الوزير الصالح الأمين الناصح ولا سيّما للملوك خاصّة,مع مشاورة الوزير اللَبيب الرفيق العالم وأنفع ما يستمتع به النَاس الحلم,مع مشاورة اللبيب الرفيق العالم وأنفع ما يستنفع به الناس الحلم ثمّ للملك خاصّة,مع مشاورة الوزير اللبيب الرفيق العالم وأنفع ما استنفع به الناس الحلم للملك خاصّة,مع مشاورة [[الإ]] الوزير اللبيب العالم وأفضل ما يستمتع به الناس الحلم والعقل لأنّه لا شيء أفضل منه للمَلك وللرعيّة لأنّ الأشياء لا تتمّ إلّا بالعقل ولأنّه صلاح للمؤمن في دنياه وآخرته والحلم لاحق بالعقل,مع مشاورة اللبيب الرفيق العالم وأفضل ما يتمتّع به الناس الحلم ثمّ للمَلك خاصّة,مَع مشاوَره اللبيّب الرفيق العَالم وأفضل مَا يستمع به الناس الحِلم ثمّ للملك خَاصّة,وحفظ مناجاة الحكيم الصالح ومداراته مع مشاورة أهل العلم والرفق والأمانة والحبّ للبريّة في أمورهم,وحفظ مناجاة الحكيم الصالح ومداراته مع مشاورة أهل العلم والرفق والأمانة والحبّ للبّر في أمورهم
7,753a29c5-86bd-4864-bf75-8e435ff8afba,Philosopher Adds Good Wife,,,*** على الرؤيا الصالحة,ومشاورة أهل العلم والأمانة والحبّ لإبانة الرأي لهم والعون على ذلك بالمروءة الصحيحة,والعون على ذلك بالمروءة الصالحة,فإنّه لا شيء أعون لهم منه ومن صلاح المرء في معيشته والمرأة الصالحة الفاضلة الرأي المواتية,لأنَّه لا شيء أعون منه ومن الصلَاح للمَرْء في مَعِيشَتِه المرأة الصالحَة الفاضلة الرأي المُواتيَة,فإنّه لا شيء أعون منه ومن صلاح المرء في معيشته المرأة الصالحة الفاضلة الرأي المؤاتية,فإنّه لا شيء أهون منه ومن صلاح المرء في معيشته المرأة الصالحة الفاضلة الرأي الموافقة,,فإنّ لا شيء أفضل ولا أعرف منه ومن صلاح المرء في نفسه ومعيشته المرأة الصالحة الفاضلة الرأي المواتية,وأنّه لاشئ أفضل ولا أعون منه ومن صلاح المرء في معيشته مشاورة اللبيب ثم المرأه الخالصه الصّالحه الفاضله الرأي المواتية,والعون على ذلك المرأة الصالحة والحلم لاسيّما للملوك,
8,aef82c58-5da0-4dbf-af89-7043dff89c08,Without Advice One Fails,,ثمّ أنّ الرجل إذا كان شجاعًا ولم يكن له حكيمًا يشاوره ويرفعه عن *مثال أهل النقص فإنّ أمره صائر إلى ندامة,ثمّ أنّ الرجل إذا كان شجاعًا ولم يكن له حكيمًا يشاوره ويرفعه عن منازل أهل النقص فإنّه ينهضه من أمر يزغ فيه بجهله ويصير أمره إلى الندامة,فإنّ الرجل وإن كان شجاعًا ماضيًا ثمّ لم يكن حليمًا وكان أهل مشورته أهل نقص وإن ساق القدر إليه في ذلك شيئًا صالحًا وصيّره إلى السرور والغبطة والظفر والفرح فإنّها لا بدّ صائر إلى ندامة وهلكة,فإنّ الرجل وإن كان شجاعًا ماضيًا ثمّ لم يكن له حلم وكان أهل مشورته أهل نقص وإن شان القدر إليه في ذلك شيئًا صالحًا وغيّره إلى الشرور والغبطة والظفر والفرح فإنّه لا بدّ صائر إلى الندامة والهلكة,فإنّ الرجل وإن كان شجاعًا ماضيًا ثمّ لم يكن له حلم وعقل وكان أهل مشورته غير موثوق بهم فإنّه يهضمه اليسير من الأمر حتّى يرى فيه الفسخ والضعف والقبح لجهالته وخطل رأي نصحائه وإن أصاب ظفرًا ولقي رشدًا القدر ساقه إليه فصيّره إلى السرور والغبطة والظفر والفلاح فإنّه صائر إلى ندامة وهلكة عاقبة أمره فيه,فإنّ الرّجُل وإنْ كَان شُجَاعًا لَسْنًا ثُمّ لمْ يَكُن له حِلم فَإنَّه ينهضُه الأمر اليَسير حَائِرًا فيه القَبيح وَالضَعيف لجهَالتِه ويُبطل رأي نصيحَتِه وإن أصاب ظفرًا وكُفي رُشدًا [[وأصاب]] [[حَزْمًا]] صَارَت عَاقبَة أمرِه فيه إلى النَدَامَة,فإنّ الرجل وإن كان شجاعًا ثمّ لم يكن حليمًا عاقلًا وكان مشاوره غير لبيب فإنّه ينهضه الأمر اليسير حتى يرى فيه القبح والضعف بجهالته وخطأ رأي نصحائه وإن أصاب ظفرًا أو لقي رشدًا بقدر شاقه إليه صارت عاقبة أمره فيه إلى ندامة,فإنّ الرجل وإن كان شجاعًا جوادًا ولم يكن حليمًا عاقلًا ومشاورته لغير لبيب فإنّه يبهظه الأمر اليسير حتّى يرى فيه الضعف والقبح بجهالته وخطل رأيه ورأي نصحه وإن أصاب ظفرًا ولقي رشدًا فإنّ القدر ساقه إليه صار عاقبته إلى الندامة,فإنّ الرجل وإن كان شجاعا لم يكن حليمًا عاقلًا وكان مشاوره غير لبيب فإنّه ينهضه الأمر اليسير حتّى يرى فيه الضعف والقبح بجهالته وخطأ رأي أهل نصيحته وإن أصاب ظفرًا ولقي رشدًا فالقدر ساق ذلك إليه وتصير عاقبته إلى الندامة,فإنّ الرجل وإن كان شجاعًا لم يكن حليمًا عاقلًا ويشاور غير لبيب فإنّه ينهضه الأمر اليسير حتّى يرى فيه القبيح والضعف لجهالته وخطأ رأي أصحابه ونصحائه وإن أصابوا ظفرًا أو لقوا رشدًا أساقه القدر إليهم صارت عاقبة أمورهم إلى الندامة,فاِنّ الرجل إن كان شجاعا ثمّ لم يكن حليما عاقلا وشاور غير لبيب فإنّه يبهظه الأمر اليسير حتّى يرى فيه القبح والضعف لجهالته وخَطأ رأي أصحَابه وإن أصابوا ظفرا ولقوا رشدا لقدر شأنه إليهم صَارت عاقبه أمرهم إلى ندامة,فإنّ الرجل وإن كان ذا شجاعة كاملة وبراعة شاملة وسخاء كامل إذا لم يكن مع ذلك حليمًا عاقلًا وعنده ذو مشورة صلح أمره وإن كان مشورته ضعيف غير عارف ولا لبيب فإنّه *يبهظه الأمر اليسير لضعف رأيه وحمالته وخطأ رأي نصحائه وإن أصاب ظفرًا أو رشدًا لم يكن كذلك أصل في البقاء وساءت عاقبته ورجعت إلى الندامة,فإنّ الرجل وإن كان شجاعًا سخيّا ثمّ لم يكن حليمًا عاقلًا وكان مشاوره غير لبيب فإنّه يبهظه الأمر اليسير لضعف رأيه وجهالته وخطأ رأي نصحائه وإن أصاب ظفرًا أو لقي رشدًا لقد ساقه إليه صارت عاقبة أمره إلى الندامة
9,f340fa24-8f0f-43b0-b3de-9c14a00c0bf1,Fortunate King,,,,,,وإذا كان على خلاف ذلك من الفضل ونبل الوزير ثمّ أعانة القضاء,وإذَا كان عَلى خلاَف ذَلك من الفَضْل ونُبل الوزير ثُمّ أعَانَه القضاء أصاب الفَلَاح عَلَى مَنْ خَاصَمَه والغَلبَة لِمَنْ †وأمّاه,وإذا كان على خلاف ذلك من الفضل ومن قبل الوزير ثمّ أعانه القضاء أصاب *الفَلح على من خاصمه والغلبة لمن ناوأه والسرور لمن أخبر به,وإذا كان على خلاف ذلك من العقل ومن نبل الوزير ومراعاته القضاء أصابه القبح على من ناصبه والغلبة لمن ناواه والسرور بما أحزنه,فإذا كان على خلاف ذلك من الفضل أصابه الفلاح على كلّ من يخاصمه والغلبة لكلّ من بارزه,وإذا كان على خلاف ذلك من الفضل ومن نبل الوزير ثمّ أعانه القضاء أصابه الفلح على من خاصمه والغلبة لمن ناوأه والسرور له,وإذا كان على خلاف ذلك من الفضل ومن قبل الوزير ثمّ أَعانه القضاء أصَاب الفَلاح على من خاصمه والغلبة على من ناوأه والسرور لمن أحزنه,وإن كان الملك على خلاف ذلك من الفضل والعقل,وإذا كان الملك على خلاف ذلك من الفضل والعقل
10,a690e635-e537-446f-a33a-915968be6885,Advice Empowers,,,,فإنّ القدر رأس الأمور والمسلّط على الأشياء وأكثر من يُغتبط برأيه العالم المشاور للعلماء,فإنّ القدرة رأس الأمور †والمعلّط على الأشياء وأكثر من يغُتبط برأيه المعلّم المشاور للعلماء,فإنّه رأس الأمور والمسلّط على الأشياء أصاب *الفلح على من خاصمه والغلبة لمن ناوأه والسرور لمن أحزنه وأكثر من يغتبط برأيه العالم المشاور والعلماء,,,,,,,,
