unit_order,unit_id,unit_title,L8751,A4095,P3469,P3468,P3466,VAF298
1,aa23b404-119e-4fea-a774-4c51a3b45f80,Chapter Title,باب مهرايز ورودماه وهو الباب الثالث عشر,باب مهرايز ملك الجرذان,باب مهرزان ابن ملك الجرذان,باب مهزار بن ملك الجرذان,باب مهرار ابن ملك الجرذان,باب بهرام في الوزير الناصح
2,07417c3a-3af9-4c42-928b-c9dae9d9ae91,The King Asks About Choosing a Vizier,قال المَلك للفيلسوف وقد فهمت ما ذكرته من مثل الملوك فيما بينهم وبين قرايبهم في مراجعة من يُراجع منهم بعد عقوبة أو جفوة تكون عن ذنب يذنبه أو ظلم يظلمه فاضرب لي إن رأيت مثل يكون كيف ينبغي للمَلك أن يصطفي له مشيرًا مناصحًا وما النفع والضرّ في اختياره,قال الملك للفيلسوف قد فهمت مثل الحِلم فيما بين الملوك وقرابتهم ولكن أريد أن تعرّفني كيف ينبغي للإنسان أن يلتمس له *امرئًا مناصحًا وما الفائدة *المستفادة من المشير الحليم,قال ديشلم الملك لبيدنا الحكيم الفيلسوف قد سمعت هذا المثل ولكن أريد أن تعرّفني كيف ينبغي للإنسان أن يلتمس له مشيرًا ناصحًا فأمّا الفائدة المستفادة من المشير,قال ديشلم الملك لبيدنا الفيلسوف قد سمعت هذا المثل ولكن أريد أن تعرّفني كيف ينبغي للإنسان أن يلتمس له مشيرًا ناصحًا وما الفائدة المستفادة من المشير,قال ملك الهند لبيدنا الفيلسوف قد سمعت هذا المثل ولكن أريد أن تعرّفني كيف ينبغي للإنسان أن يلتمس له مشيرًا ناصحًا وما الفائدة المستفادة من المشير الحكيم,قال الملك قد فهمت ما ذكرت من أمر الحلم والعقل ومصالحهما وما لصاحبهما فيهما من المنفعة فاضرب لي إن رأيت كيف ينبغي للملك أن يصطفي مشيرًا مناصحًا في السرّاء والضرّاء
3,e1d3bea7-b556-4049-bfd7-23449d650e0d,The Philosopher Answers,قال الفيلسوف أيّها المَلك السعيد إنّ المنفعة في ذلك على وجهين فالوجه الأوّل دفع الضرر وإزالة الغموم والاستنقاذ من البلاء والشرور والوجه الثاني اختلاف الخبر وشمول السلامة وعموم اليُمن والسعادة والبركة والزيادة وبلوغ الأعمال الصالحة وحسن العاقبة فيها,,قال الفيلسوف من أحبّ أن يختار له مشيرًا ناصحًا يتمسّك به عند الشدائد ويتخلّص به من العظائم وينال بسببه فوائدًا كبار,قال الفيلسوف من أحبّ أن يختار له مشيرًا ناصحًا يتمسّك به عند الشدائد ويتخلّص به من العظائم وينال بسببه فوائد كبار,قال الفيلسوف من أحسن أن يختار له مشيرًا ناصحًا ويتمسّك به تخلّص به من شدائد عظام وأقام وأفاد بسببه فوائد كبار,قال الفيلسوف إنّ المنفعة في ذلك على وجهين فالوجه الواحد دفع الضرّ وإزالة الغمّ والوجه الآخر اجتلاب الخير وشمول السلامة
4,a6f101e8-5b97-44f3-a7e6-61f1aa164553,The Parable of the King of Rats,كما بلغنا عن جرذ كان وزير,قال الفيلسوف إنّ مثل ذلك مثل ملك الجرذان ووزيره الناصح له المنقذه وأهله ومخلّصهم من الشدائد العظام,كما [[ملك]] {أفاد} به ملك الجرذان من وزيره الناصح فائدة تخلّص بها هوّ وجميع الجرذان من الشدّة,كما أفاد ملك الجرذان من وزيره الناصح فائدة تخلّص بها هو وجميع الجرذان من الشدّة,كما أفاد ملك الجرذان من مشورة وزيره الناصح فائدة تخلّص بها هو وجميع الجرذان من الشدّة {التي} كانوا فيها,كما بلغنا عن وزير لبهرام ملك الجرذان
5,5b148385-5581-4952-9845-633f4ae1fa30,The Qualities of the Vizier,الملك الجرذان وكان ذا دهاء ذا لبّ وإرب وعلم وأدب وثبات وجزم وتأنّي وحلم وذكاء وفهم لم يُعرف قطّ له ركاكة في عقل ولا شينًا في فعل فاصطفاه المَلك من بين وزرائه لسرّه واعتمد عليه في جميع أمره واختصّه لمشورته فكانت عاقبة مشورته إيّاه استنقاذه وأهل مملكته من البلاء والهلكة بعد إيقانهم بها,,,,,
6,5611c188-4692-4ea3-9ced-c73ee2dc9840,The King Requests the Parable,قال المَلك وكيف كان ذلك,قال الملك وكيف كان ذلك,قال الملك وكيف كان ذلك,قال الملك وكيف كان ذلك,قال الملك وكيف كان ذلك,
7,a416d262-4af8-412f-bf42-cde43b9cb669,A Prosperous City,قال الفيلسوف زعموا أنّ كان في أرض البراهمة بريّة يُقال لها دوراب سعتها ألف فرسخ في ألف فرسخ وكان في وسطها مدينة يُقال لها أندربيون وكانت تلك المدينة حسنة العمارة مبنيّة بالجصّ والحجارة شامخة القصور واسعة الدور حسنة البنيان مشيّدة الأركان كثيرة الخصب والنبات غزيرة الأثمار والخيرات موفورة الغلّات وكان أهلها يعيشون في خصبها عيشًا هنيًّا صافيًا في سعادة وغبطة ولذّة ونعمة,قال الفيلسوف زعموا أنّه كان في أرض البراهمة بقعة تُسمّى دورات مساحتها ألف فرسخ وكان في وسط تلك البقعة مدينة تُسمّى بدرور وكانت كبيرة آهلة وكان أهلها يتصرّفون في معايشهم كما يحبّون,قال بيدنا زعموا أنّه كان في أرض البراهمة بقعة تُسمّى دوران مسافتها ألف فرسخ وكان في وسط تلك البقعة مدينة تُسمّى أيل زينون وكان عليها خيرات كثيرة وكان أهلها يتصرّفون في معايشهم كما يحبّون,قال بيدنا زعموا أنّه كان في أرض البراهمة بقعة تُسمّى دوران مسافتها ألف فرسخ وكان في وسط تلك البقعة مدينة تُسمّى ايدزيتون وكان عليها خيرات كثيرة وكان أهلها يتصرّفون في معائشهم كما يحبّون,قال الفيلسوف زعموا أنّه كان في أرض البراهميّين بقعة تُسمّى دوران مسافتها ألف فرسخ وكان في وسط تلك البقعة مدينة تُسمّى ايدزينون وكان عليها كثيرًا من الخيرات وكان أهلها ينصرفون في معائشهم كما يحبّون,
8,f015dd41-f442-4f77-9b56-8eb1e8753f34,The City Is Ruled by a Rat King,وكان في تلك المدينة جرذًا اسمه مهراير وكان مَلك الجرذان كلّها بتلك الناحية,وكان في تلك المدينة جرذ يُسمّى مهراير وكان مُملّكًا على جميع الجرذان الذين في تلك المدينة ورساتيقها,وكان في تلك المدينة جرذ يُسمّى مهراز وكان ممتلكًا على جميع الجرذان التي في تلك المدينة ورساتيقها,وكان في تلك المدينة جرذ يُسمّى مهراز وكان متملّكًا على جميع *الجرذان التي في تلك المدينة ورساتيقها,وكان في تلك المدينة جرذ يُسمّى مهرار وكان متملّكًا على جميع الجرذان التي في تلك المدينة ورساتيقها,
9,6705f3eb-899a-4244-9c76-36e61b635fa0,The Rat King Has Three Viziers,وكان له ثلاث وزراء من الجرذان وكان اسم الواحد منهم رودماه والآخر شبرع والآخر بغداد وكان رودماه حكيمًا عاقلًا حليمًا حيولًا داهيًا مَكِرًا بصيرًا بالأمور خبيرًا بالأزمنة والدهور قد حنّكته التجارب وأدّبته النوائب فاختصّه المَلك لما عنده من العقل والسياسة والفضل,وكان له ثلاثة وزراء يشاورهم في أموره يُسمّى أحدهم رودباد وكان ذو عقل وحنكة فكان الملك معترفًا بعقله وجودة حيلته ويُسمّى الثاني سبرع والثالث بغداد وكان الملك يحضرهم جميعًا ويستشيرهم فيما يصلح رعيّته,وكان له ثلاث وزراء يشاورهم في الأمور يُسمّى أحدهم ذوذامه وكان ذو عقل وحكمة وكان الملك [[وما]] معترفًا بفضله *وكان يُسمّى الثاني شيرع ويُسمّى الثالث بغداد,وكان له ثلاثة وزراء *يشاورهم في الأمور يُسمّى أحدهم زودامة وكان ذا عقل وحكمة وكان الملك معترفًا بفضله وكان يُسمّى الثاني سيرع ويُسمّى الثالث بغداد,وكان له *ثلاث وزراء يشاورهم في أموره يُسمّى أحدهم زودليد وكان ذو عقل وحكمة وكان الملك معتزًّا بفضله ويُسمّى الآخر شيرع والثالث بغداد,وكان له ثلاثة وزراء من الجرذان اسم الواحد رودباد [حكيمًا] والآخر شيرع والآخر بغداد وكان رودباد حكيمًا
10,e1ec7823-65f9-46ba-b287-14bee07d5959,They Discuss the Threat of the Cats,فبينا المَلك ذات يوم مع وزرائه الثلاثة يتذاكرون لذيذ العيش وصفو الزمان وتباعد الطوارق عنهم والحدثان وطيب النعمة ويقول بعضهم لبعض اعلموا يا سادة يا سُعداء أنّا في غبطة ونعيم وليس لنا همّ ولا غمّ إلّا من سبب واحد وهو الذي أتانا وانتهى إلينا فنحن منه في حال شديد وجهد جهيد وهو خوفنا من السنانير فإن رأيتم في مشورتنا صلاحًا وأمنًا من الخوف اعتمدنا عليه وفعلناه وبادرنا فيه وقدّمناه وإن كان غير ذلك عدلنا عنه وأهملناه,فحضروا يومًا وتفاوضوا في أشياء كثيرة إلى أن انتهى بهم الكلام إلى هذا المعنى وهو هل يمكن في استطاعتنا أن نزيل عنّا ما قد توارثناه من أسلافنا من الفزع والخوف من السنانير أم لا يمكن ذلك,فحضروا يومًا وتفاوضوا في أشياء كثيرة إلى أن انتهى بهم الكلام أن قالوا هل في استطاعتنا أن نزيل عنّا ما قد *توارثناه من أسلافنا من [[الحزن]] {والفزع} والخوف من *السنانير أوّلًا,فحضروا يومًا وتفاوضوا في أشياء كثيرة إلى أن انتهى بهم الكلام إلى أن قالوا هل في استطاعنا أن نزيل عنّا ما قد توارثناه من أسلافنا من الفزع والخوف من السنانير أو لا,فحضروا يومًا وتفاوضوا في أشياء كثيرة إلى أن انتهى بهم الكلام إلى أن قالوا هل في استطاعنا أن نزيل عنّا ما قد توارثناه من أسلافنا من الفزع والخوف من السنانير أم لا يمكن ذلك,فبينما الملك ذات يوم ووزراؤه يتذاكرون لذّة العيش ويقول بعضهم لبعض اعلموا أنّا سعداء في غبطة ونعيم ولنا غمّ واحد وهو الذي لقيه أولانا من الآباء والأجداد *وانتهى إلينا ونحن منه في شدّة وهو خوف السنانير فإن رأيتم في مشورتنا هذه صلاحًا وإلّا تركناها
