unit_order,unit_id,unit_title,Met-1981.373,L4044,P5881,L8751,P3471,P3465,P3466,CCCP578,R3655,JBE-Hebrew,R2536,VAF298
1,c59b54ce-75b7-4556-993c-d372dee937b4,Chapter Title,باب الأسد والثور,باب الأسد والثور,باب الأسد والثور,باب الأسد والثور وهو الباب الرابع,,باب الأسد والثور وهو أوّل الكتاب,باب الأسد والثور,باب الأسد والثور,,שער האריה והשור,باب الأسد والثور,باب الأسد والثور
2,a313a2c1-502c-4e73-b53f-8201e0762874,Introduction to the Story's Theme,,وهو مثل الرجلين المتحابّين يقطع بينهما الغدّار الكذوب بنميمته,,,,,وهو مثل المتحاببين يقطع بينهما الخؤون الكاذب,,,והוא משל שני חברים אשר נרגנים ינרו מדון ביניהם. ויפרידו בין שניהם.,,وهو باب المتحابّين يقطع بينهما الكذب والمحال
3,f605466c-d334-4db0-b6b2-b7abc017082f,Frame dialogue,,,,,,,,,,,,
4,98e3ca84-6b0a-4ede-a4f7-89128630ab1b,King's Request for a Parable,قال الملك ديشلم لبيدبا الفيلسوف اضرب لي مثل الرجلين المتحابّين يقطع بينهما الخؤون الكذوب ويحملهما على العداوة,قال دبشلم ملك الهند لبيدبا الفيلسوف رأس فلاسفته اضرب لي مثل الرجلين المتحابّين يقطع بينهما الكذوب الخائن ويحملهما على العداوة والشنآن,قال ديلم ملك الهند لبيدبا رأس الفلاسفة إضرب لي مثل الرجلين المتحابّين كيف يقطع بينهما الكذوب والخؤون ويحملهما على العداوة والشتات,قال ديشليم ملك الهند لبيدبا رأس الفلاسفة اضرب لي مثل الرجلين المتحابّين يقطع بينهما الكذوب الخائن,,قال ديشلم الملك لبيدبا الفيلسوف وهو رأس البراهمة اضرب لي مثل المتحابّين الذي يقطع بينهما الكذوب المحتال حتّى يحملهما على العداوة والبغضاء,قال ديشلم الملك لبيدنا الفيلسوف وهو رأس الفلاسفة اضرب لي مثل الرجلين المتحاببين كيف يقطع بينهما الخؤون الكذّاب ويحملهما على العداوة والتقاطع والتدابر,قال ديسلم ملك الهند لبندبارأس فلاسفته اضرب لي مثلًا مثل الرجلين المتحابّين يقطع بينهما الكذوب الخائن ويحملهما على العداوة,,ויאמר דיסלם מלך הרו אל סאנדבאר שהיה דוד חכמות מארץ הרו. משל משלים בין שני ידידים טהורי לב נאמנים. שהפרידו בין שניהם בכוביהם מסיתים נרגנים.,قال ديسلم الملك ليندباذ الفيلسوف اضرب لي مثل الرجلين المتحابّين يقطع بينهما الخؤون الكذوب ويجعلهما على الحدّ في العداوة,قال ديشلم الملك لبيدبا الفيلسوف رأس الفلاسفة اضرب لي مثل المتحابّين يقطع بينهما الخؤون الكذوب
5,7f0d999d-3142-4620-a522-cc605a7a0653,Philosopher's Response and Story Introduction,** تقاطعا وتدابرا,قال بيدبا الفيلسوف إذا ابتُلي الرجلان بدخول الكذوب الخؤون بينهما تقاطعا وتدابرا وتفاسد ما بينهما,قال بيدبا الفيلسوف إذا ابتلا الرجلين المتحابّين وجرى بينهما الخؤون الكذوب تقاطعا وتدابرا,قال بيدبا الرجلان المتحاببان يدخل بينهما الكذوب الخائن تقاطعًا وتدابرًا,,قال [قال] بيدبا إذا ابتلي المتحابّين بأن يدخل بينهما الكذوب المحتال لم يلبثا أن يتقاطعا ويتدابرا,قال بيدنا إذا ابتُلي الرجلان المتحاببان بأن يدخل بينهما الكذوب المحتال لم يلبنا أن يتقاطعا ويتدابرا,قال بندبا رأس الفلاسفة إذا ابتلى الرجلين المتحابّين بجري الكذوب †الخائن بينهما تقاطعا وتدابرا وفسد ما بينهما,,ויען דוד חכמות ויאמר כן משפט כל שני ידידים. המכוניבים והמסיתים יהיו ביניהם מפרידים. ויהיו כמו האריה והשור.,قال الفيلسوف,قال بيدباه الفيلسوف إذا ابتلي الرجلين المتحابّين بمن يجري بينهما بالمحال تقاطعا وفسد ما بينهما
6,a87aca18-2ab6-48e0-b880-a813f377ede5,Transition to the Lion and Bull Story,,,,,,,,,,,ومثل ذلك كمثل الأسد والثور,
7,9e91227a-81e0-466b-b318-92d01d7bc125,King's Inquiry About the Story,,,,,,,,,,ויאמר המלך איכה היה הדבר. ויאמר דוד חכמות סוחר עשיר היה בארץ רסתבאר ולו שלשה בנים.,قال الملك وكيف كان ذلك,
8,b502a1e0-7346-4dae-8b0f-ca1183b5a60b,Subframe of Wealthy Merchant and His Sons,,,,,,,,,,,,
9,a3505e8f-c57f-4516-af46-9dfd692f50dc,Setting: Wealthy Merchant and His Sons,ومن أمثال ذلك أنّه كان بأرض ديستايد تاجر مكثر وكانت له بنون,ومن أمثال ذلك أنّه كان بأرض دستنابد تاجر مكثر وله بنون,ومن أمثال ذلك أنّه كان بأرض بساتر تاجرًا وكان مكثرًا وله بنون,ومن أمثال ذلك أنّه كان بأرض دستا تاجر مكثر وكان له بنون,,ومن أمثال ذلك أنّه كان بأرض دستاوبد رجل شيخ وكان له ثلاث بنين,ومن أمثال ذلك أنّه كان بأرض دستابد تاجرًا مكثرًا وكان له بنون ثلاثة,ومن أمثال ذلك أنّه كان بأرض يسابد تاجر مكثر له بنون,*** ومن أمثال ذلك أنّه كان بأرض دفستاند تاجر مكثر له بنون,,قال الفيلسوف زعموا أنّه كان بأرض ديسابد تاجر مكثر وله ثلاث بنون,فمن ذلك أنّه كان بأرض سبابك تاجر مكثر وكان له أولاد
10,24a24d09-93e6-4a5b-9f83-9d6174f07df6,Sons' Mismanagement of Wealth,سلّم إليهم أمواله فلم يحترفوا بها بل تساهلوا في ذلك تساهلًا يضيّع ذلك المال عليه وعليهم فلامهم أبوهم ووعظهم,فلمّا أدركوا شرعوا في مال أبيهم ولم يحترفوا حرفة يكتسبون بها مالًا فلامهم أبوهم ووعظهم,فلمّا كبروا أسرعوا في ماله فلاقاهم ولامهم على ذلك ووعظهم,فلمّا أدركوا شرعوا في مال أبيهم ولم يحترفوا حرفة يصيبوا فيها مالًا فلامهم أبوهم ووعظهم,,فلمّا بلغوا أشدّهم أسرعوا في ما أبيهم ولم يكونوا احترفوا بحرفة يكسبون لأنفسهم وأبيهم خيرًا فلامهم أبوهم ووعظهم على سوء فعلهم,فلمّا أدركوا أسرعوا في مال أبيهم ولم يحترفوا يكسبون بها مالًا فلامهم أبوهم ووعظهم,فلمّا أدركوا به أسرعوا في مال أبيهم ولم يتحرّفوا بحرفة يكسبون منها مالًا فلامهم أبوهم ووعظهم,*فلمّا أدركوا شرعوا في مال أبيهم ولم يحترفوا حرفة يكسبون منها مالًا فلامهم أبوهم ووعظهم,וכאשר נדלו הנערים. החלו עושר אביהם לפור ולהחרים . ולא למדו מלאכה . להיות להם לצרכם ערוכה. וינער בהם אביהם. וכהה בם על רע מעשיהם.,فلمّا أدركوا أخذوا في مال أبيهم ليبذّروه ولم يحترفوا حرفة يكسبون منها مالًا فلامهم أبوهم ووعظهم,فلمّا أدركوه شرعوا في مال أبيهم ولم يحترفوا عليه حرفة يكسبون منها شيئًا ?؟فقلادهم وألزمهم على ذلك ووعظهم
11,29b568f2-d01f-41a8-bd07-2d8b0e974e59,Father's Advice: Three Pursuits and Four Necessities,وقال يا بنيّ إنّ صاحب الدنيا يطلب ثلاث أمور لن يدركها إلّا بأربعة أشياء,وكان ممّا قال لهم يا بنيّ إنّ صاحب الدنيا يطلب ثلاثة أمور لن تُدرك إلّا بأربعة أشياء,وكان فيما قال لهم يا بنيّ إنّ صاحب الدنيا يطلب ثلاثة أمور ولا يدركها إلّا بأربعة أشياء,فكان من عظتهم أن قال يا بنيّ إنّ صاحب الدنيا يطلب ثلاثة أمور لا يدركها إلا بأربعة أشياء,,وكان من قوله لهم يا بنيّ إنّ صاحب الدنيا يطلب ثلاثة أمور لن يدركها إلّا بأربعة أشياء,وكان من قوله لهم أنّه قال يا بنيّ إنّ صاحب الدنيا يطلب ثلاثة أمور لا يدركها إلّا بأربعة أشياء,وقال لهم فيما قال يا بنيّ إنّ أصحاب الدنيا يطلبوا ثلاثة أمور لن يدركها إلّا بأربع أشياء,وكان فيما قال لهم يا بنيّ إنّ صاحب الدنيا يطلب ثلاثة أمور لن يدركها إلّا بأربعة أشياء,ויאמר האיש בחרבכם ובקשתכם שביתם. מה המעשה הזה אשר עשיתם. הלא ידעתם כי כל יושבי תבל מאנשי הרעה. יבקש שלשה דברים ולא ישינו כי אם בארבעה.,وقال لهم فيما قال يا بنيّ إنّ صاحب الدنيا يطلب ثلاثة أمور لن يدركها إلّا بأربعة أشياء,وقال يا بنيّ إنّ صاحب الدنيا يطلب منها ثلاثة فلا يدركها إلّا بأربعة من الخصال
12,47e4b98f-cd24-48c0-bdda-532143cc19df,Three Worldly Pursuits,السعة في المعيشة والمنزلة في الناس والزاد إلى الآخرة,أمّا الثلاثة التي يطلب فالسعة في المعيشة والمنزلة في الناس والزاد إلى الآخرة,أمّا ما يلتمس فهو السعة في المعيشة والمنزلة في الناس والزاد في الآخرة,أمّا الثلاثة التي يطلب فالسعة في المعيشة والمنزلة عند الناس والبلغة إلى الآخرة,فالثلاثة التي تُطلب فالسعة في الرزق والمنزلة في الناس والزاد إلى الآخرة,أمّا الثلاثة التي يطلب فالسعة في الرزق والمنزلة في الناس والزاد في الآخرة,أمّا الثلاثة التي يطلب فالسعة في المعيشة والمنزلة في الناس والزاد إلى الآخرة,أمّا الثلاثة التي يطلب †فالسعة في المعيشة والمنزلة والزاد إلى الأخرة,أمّا الثلاثة التي يطلبها فالسعة في المعيشة والمنزلة في الناس والزاد إلى الأخرة,מחיה ומעלת הגדולים וציידה ליום אחרון אלה הם השלשה.,أمّا الثلاثة التي يلتمسون فالسعة في المعيشة والمنزلة في الناس والزاد إلى الآخرة,فأمّا الثلاثة التي يطلبها فالسعة في المعيشة والمنزلة في الناس والزاد للآخرة
