unit_order,unit_id,unit_title,P3465,P3466,P3473,M487,M618,A4095,P3475,P400,M486,CCCP578,P5881,P3471
1,70d86346-f179-4f28-a789-49d9d129d65f,Chapter Title Mission,باب بعثة برزويه إلى بلاد الهند,باب بعثة برزويه المتطبّب إلى بلاد الهند في انتساخ الكتاب,الباب الثاني ذكر برزويه المتطبّب وما يتعلّق به من ترجمة *بزرجمهر الحكيم,بعثة الحكيم برزويه المتطبّب لانتساخ كتاب كليلة ودمنة,باب بعث الملك أنوشروان وهو كسرى بن قباد ملك الفرس برزويه الطبيب إلى بلاد الهند في طلب كتاب كليلة ودمنة وكيف ظفر به وأخرجه,باب توجيه كسرى أنوشروان برزويه إلى بلاد الهند لطلب الكتاب,بعثة المَلك برزويه إلى بلاد الهند في طلب هذا الكتاب,,,,,
2,3a3106f8-68a7-4b2d-bcc5-0d3ae71d8c01,Chapter Title First Risala,,,,,,,,ذكر الرسالة الأولى,ذكر الرسالة الأولى,,الرسالة الأولى,الرسالة الأولى
3,9ab05bc2-45c2-407c-8f9c-f057bfcbb812,Chapter Abstract,,,,,,,,وهي بعثة أنوشروان برزويه المتطبّب إلى بلاد الهند في طلب كتاب كليلة ودمنة وهذا أوّلها,وهي بعثة أنوشروان برزويه المتطبّب إلى بلاد الهند في طلب كتاب كليلة ودمنة وهذا أوّلها,,وهي بعثة الملك أنوشروان كسرى ابن قباده لبرزويه المتطبّب إلى بلاد الهند في طلب كتاب كليلة ودمنة,وهي بعثة أنوشروان بروزية المتطبّب إلى بلاد الهند في طلب كتاب كليلة ودمنة
4,8eb30831-4707-483c-92a3-f7559a98c38c,Hamdala For Gods Wisdom,,,,,,,,الحمد للّه الذي بيده مفاتيح كلّ شيء ومنتهى كلّ شيء وغايته الدالّ على الخير كفاعله المسبّب فضيلة الملهم عباده ما يقرّبهم من ?نوغ الخيرات وما أدلّهم عليه من العلم بحكمته,الحمد لله الذي بيده مفاتيح كلّ شيء ومنتهى كلّ شيء وغايته الدالّ على الخير المسبّب كلّ فضيلة الملهم عباده ما يقرّبهم من نوافل الخيرات وما أدلّهم عليه من العلم بحكمته,الحمد لله الذي بيده مفاتيح غيبه وإليها منتهى كلّ علم وغاية رجاء الدّال على الخير المسبّب كلّ فضيلة الملهم عباده كلّ ما يقربهم من نوافل الخيرات ونوامي البركات ممّا ألهم عباده ودلّهم عليه من العلم وتحوّز الحكمة,الحمد لله الذي بيده مفاتيح غيبه وإليه منتهى كلّ علم وغايته الدالّ عل الخير المسبّب كلّ فضيلة الملهم عباده كلّ ما يقربهم من نوافل الخيرات ونوامي البركات ممّا ألهم الله عباده ودلّهم عليه من العلم وتحرير الحكمة,الحمد لله الذي بيده مفاتيح كلّ شيء وإليه منتهى كلّ علم وغاية الدال على الخير المسبب كل فضيلة الملهم عباده ما يقرّبهم من نوافل الخيرات ونوامي البركات وأدلّهم عليه من العمل بحكمه
5,735c0e81-2d30-457f-b5aa-93618b241c8b,God Commands Gratitude,,,,,,,,وأمرهم بالشكر ليستوجبوا بذلك المزيد منه ولِحَضّهم على طلب العلم واقتناء الأدب ليفهموا عنه أمره ووصيّته وليسرعوا فيما يرضيه عنهم وليتجنّبوا معاصيه فتبارك الله ربّ العالمين,وأمرهم بالشكر ليستوجبوا بذلك المزيد منه ويحضّهم على طلب العلم واقتناء الأدب ليفهموا عنه أمره ووصيّته وليسرعوا فيما يرضيه عنهم وليتجنّبوا معاصيه فتبارك الله ربّ العالمين,إذ أمرهم بالشكر له استوجبوا بذلك المزيد منه وليـ ... وليفهموا عن الله تعالى أمره ووصيّته وليسرعوا فيما يرضيه عنهم ويتجنبوا *** تبارك الله ربّ العالمين,إذ أمرهم بالشكر له ليستوجبوا بذلك المزيد منه وليدلّهم على طلب العلم واقتناء الأدب وليفهموا أنّ الله تعالى أمره ووصيّته أن يشرعوا فيما يرضيه عنهم تبارك الله ربّ العالمين,وأمرهم بالشكر له ليستوجبوا بذلك المزيد منه وليدلّهم على طلب العلم واقتناء الأدب وليفهموا عنه أمره ووصيته وليسرعوا فيما يرضيه عنهم ولينجنّبوا معاصيه فتبارك الله رب العالمين
6,570e0fc7-c62f-44fc-bd11-2a3037a12bb6,God Equipped Humans,أمّا بعد فإنّ الله تعالى خلق الخلق برحمته ومنّ على عباده بفضله وكرمه ورزقهم ما يقدرون به على إصلاح معايشهم في الدنيا ويدركون به استنقاذ أرواحهم من العذاب في الآخرة,أمّا بعد فإنّ الله تبارك وتعالى خلق الخلق برحمته ومنّ على عباده بفضله ورزقهم ما يقدرون به على صلاح معايشهم في الدنيا ويدركون به استنقاذ أرواحهم من العذاب في الآخرة,أمّا بعد فإنّ الله تعالى خلق الخلق برحمته ومنّ على عباده بفضله فرزقهم ما يقدرون به على معايشهم في الدنيا ويذكرون به استنقاذ أرواحهم من العذاب في الآخرة,أمّا بعد فإنّ الله تعالى خلق الخلق برحمته ومنّ على عباده بفضله فرزقهم ما يقدرون به على إصلاح معايشهم في الدنيا ويدركون به استنقاذ أرواحهم من العذاب في الآخرة,قال برزجمهر أمّا بعد حمد الله فإنّ الله تبارك وتعالى خلق خلقه برحمته ومنّ على عباده بفضله ورزقهم ما يقدرون به على إصلاح شأنهم ومعايشهم في الدنيا وما يدركون به استنقاذ أرواحهم من أليم العذاب في الآخرة,قال بزرجمهر أمّا بعد فإنّ الله تبارك وتعالى خلق خلقه برحمته ومنّ على عباده بفضله ورزقهم ما يقدرون به على إصلاح شأنهم ومعايشهم في الدنيا وما يدركون به استنتقاذ أرواحهم من أليم العذاب,,,فإنّ الله تعالى خلق الخلق برحمته ومنّ عليهم بفضله ورزقهم من العقل ما يقدرون على معايشهم وما يدركون به استنقاذ أرواحهم من العذاب في الآخرة,فإنّ الله *تبارك وتعالى خلق خلقه ومنّ على عباده بفضله ورزقهم من العقل ما يقدرون به على صلاح معايشهم في الدنيا والآخرة,فإنّ الله تعالى خلق خلقه برحمته ومنّ على عباده بفضله ورزقهم من العقل [[يقدر]] بما يقدرون به على إصلاح معيشتهم في الدنيا والآخرة,فإنّ الله تعالى خلق الخلق برحمته ومنّ عليهم بفضله ورزقهم من العقل ما يعدون به على إصلاح معايشهم وما يدركون به استنقاذ أرواحهم من العذاب في الآخرة
7,5d6b87cb-ef0b-48d7-861c-ea2873ba64f1,Reason Is Gods Best Gift,وأفضل ما رزقهم الله تعالى ومنّ به عليهم العقل الذي هو الدعامة لجميع الأشياء والذي لا يقدر أحد في الدنيا على إصلاح معيشة ولا احتراز نفع ولا دفع ضرر إلّا به وكذلك طالب الآخرة المجتهد في العمل المنجي به روحه ولا يقدر على إتمام عمله إلّا بالعقل,وأفضل ما رزقهم الله ومنّ به عليهم العقل الذي هو الدعامة الكبرى لجميع الأشياء والذي لا يقدر أحد في الدنيا على إصلاح معيشته ولا على إحراز دفع شيء إلاّ به وكذلك طالب الآخرة المجتهد فى العمل المنجّي روحه لا يقدر على إتمام عمله إلاّ بالعقل,ومن أفضل ما رزقهم ومنّ عليهم به العقل الذي هو الدعامة لجميع الأشياء والذي لا يقدر أحدًا في الدنيا على اصطلاح معيشته ولا تحصيل نفع ولا دفع شرّ إلّا به وكذلك طلب الآخرة بالاجتهاد في العمل المنجّي روحه فلا يقدر الإنسان على إتمام عمله وإكماله إلّا بالعقل,وأفضل ما رزقهم الله تعالى ومنّ به عليهم العقل الذي هو الدعامة لجميع الأشياء والذي لا يقدر أحدًا في الدنيا على إصلاح معيشته ولا حوز نفع ولا دفع ضرّ إلّا به وكذلك طلب اﻵخرة بالاجتهاد في العمل المنجي بروحه فلا يقدر على إتمام عمله وإكماله إلّا بالعقل,وأفضل ما رزق الإنسان ومنّ عليه به العقل الذي هو قوّة على معاناة الأشياء ولا طاقة لأحد على إصلاح معيشته ولا جرّ منفعة ولا {دفع} مضرّة إلّا به وكذلك الطالب للآخرة والمجتهد على إنقاذ روحه من الهلكة,وأفضل ما رزقهم الله ومنّ عليهم به العقل الذي هو قوّة لجميع الأشياء فما يقدر أحد من الخلق على إصلاح معيشه ولا اجترار منفعة ولا دفع مضرّة إلّا به وكذلك طالب الآخرة المجتهد على استنقاذ روحه من الهلكة,,,وأفضل ما رزقهم العقل الذي يجمع الأشياء ولا يقدر أحد على إصلاح معيشته ولا اجتلاب فضل ودفع ضرر إلّا به وطالب الآخرة المجتهد في العمل ينجو به من الأهوال,*** والذي هو يجمع الأشياء فلا يقدر أحد على صلاح معيشته ولا احتراز فضل ولا دفع ضرر إلّا به وطالب الآخرة المجتهد في العمل ينجّي به روحه من الأهوال لا يقدر على إنفاذ العمل إلّا بالعقل,فأفضل ما رزقهم ومنّ عليهم به العقل الذي يكون به استنقاذ أرواحهم من العذاب في الآخرة الذي هو أفضل الأشياء ولا يقدر أحد على إصلاح معيشته ولا اجترار نفع ولا دفع ضرّ إلّا به وطالب الآخرة المجتهد في العمل الذي ينجي به روحه من الأهوال لا يقدر على إنفاذ العمل إلّا بالعقل,وأفضل ما رزقهم العقل الذي هو جميع الأشياء ولا يقدر أحد على اصلاح معيشته ولا اجتلاب فضل ولا دفع ضرر إلّا به وطالب الآخرة يجتهد في العلم لينجو به من الأهوال
8,2997446d-9393-4787-872a-bd5f1956e83c,Reason Is Basis Of Every Good,الذي هو سبب كلّ خير ومفتاح كلّ سعادة فليس لأحد غنى عن العقل والعقل مكتسب بالتجارب والأدب,وهو سبب كلّ خير ومفتاح كلّ سعادة,الذي هو سبب كلّ خير ومفتاح كلّ سعادة فليس أحد يستغني عن العقل والعقل مُكتسب بالتجارب والأدب,الذي هو سبب كلّ خير ومفتاح كلّ سعادة فليس أحدًا يستغني عن العقل والعقل مكتسب بالتجارب والأدب,فالعقل هو سبب كلّ خير ومفتاح كلّ رغبة وهو مكتسب بالتجارب والآداب,فالعقل هو سبب لكلّ خير وهو مكتسب بالتجارب والآداب,,*** والأدب والعقل مكسب بالتجارب,والعقل فهو سبب كلّ خير ومفتاح كلّ رغبة وليس ﻷحد غنى عنه والأدب والعقل مكتسب بالتجارب,فالعقل هو سبب كلّ خير ومفتاح كلّ رغبة والعقل مُكتسب بالتجارب والأدب,فالعقل سبب كلّ خير ومفتاح كلّ رغبة وليس لكلّ أحد منّا غنى عن العقل والعقل مكتسب بالتجارب والأدب,والعقل هو سبب كلّ خير ومفتاح كلّ رغبة وليس لأحد غنى عنه والعقل مكتسب بالتجارب والأدب
9,4cfa2375-a84a-4786-a610-4ea5a06a1357,Reason Like Hidden Fire,وله غريزة مكنوّنة في الإنسان كامنة كالنّار في الحجر فلا يرى ضوءها ولا إظهارها حتى يقدحها قادح من الناس فإذا قُدحت ظهرت طبيعتها,وله غريزة مكنونة في الإنسان كامنة كمون النار في الحجر لا تظهر ولا يُرى ضوؤها حتّى يقدحها قادح من الناس,وله غريزة مكنونة في الإنسان ككمون النار في الحجر الجلمود لا يُرى ولا يظهر حتّى يقدحها قادح من الناس فإذا قدحها ظهر شعاعها وحريقها,وإنّه غريزة مكنونة في الإنسان كامنة كمون النار في الحجر لا تظهر ولا يُرى نورها حتّى يقدحها قادح من الناس فإذا قدحها ظهر له شعاعها وحريقها,وغريزته مكنونة في الإنسان كامنة ككمون النار في العود فلا تُرى ولا تظهر حتّى يقدحها قادح فتضيء وتحرق,وغريزته مكنونة في الإنسان كامنة ككمون النار في الحجر والعود لا تُرى حتّى يقدحها قادح من غيرها يظهر ضوءها وحريقها,,ولبثه في الإنسان كلبث النار في الحديد لا تظهر حتّى يقدحها قادح من غيرها فإذا أقدحها ظهر ضوءها وحريقها,ولبوثه في الإنسان كلبوث النار في الحديد لا يظهر حتّى يقدحها قادح من غيرها فإذا قدحها ظهر ضوءها وحريقها,*غريزته مكنونة في الإنسان كامنة فيه كمون النار في العود فطبيعتها فيه كامنة لا تظهر حتّى يقدحها قادح من غيرها فإذا قدحها أظهرت ضوءها وحريقها,وغريزته مكنونة في الإنسان كامنة ككمون النار في العود فإنّ النار طبيعتها فيه كامنة لا تظهر حتّى يقدحها قادح من غيرها فإذا قدحها ظهرت بضوئها وحريقها,وغريزته كائنة في الإنسان ككمون النار في العود لا يظهر حتّى يقدحها قادح من غيرها فإذا قدحها ظهر ضوءها وحريقها
10,113ffc0e-2928-46d5-b102-10ca33f411b1,Sugar Hidden In Grapes,,,وككمون السكّر في العنقود لا يتهيّأ إلّا بمباشرة الاعتصار والتخمّر,,,,,,,,,
