unit_order,unit_id,unit_title,I344,R2536,P400,P3465,P5881,P3475,P3473,R2407,BWII672,A4095,P3466,CCCP578,L8751,L4044,P3471
1,8ed98aa8-2cb8-49ad-b198-3012e46a7f5a,Chapter Title,باب السنّور والجرذ,باب السنّور والجرذ,باب الجرذ والسنّور,باب الجرذ والسنّور,باب الجرذ والسنّور,باب الجرذ والسنّور,الباب التاسع باب الجرذ والسنّور,الباب السابع وهو باب السنّور والجرذ,الباب السابع باب السنّور والجرذ,باب السنّور والجرذ,باب الجرذ والسنّور,باب الجرذ والسنّور,باب السنّور والجرذ وهو الباب العاشر,باب السنّور والجرذ,باب الجرذ والسنّور
2,e28d2615-9a0c-4c9a-8ede-c56a7c5827a9,Abstract,وهو باب من يصير أمر أعداؤه إلى الظفر به كيف يقدر على التخلّص منهم,,,,,,,وهو مثل من كثرت أعداؤه وكشفوه من كلّ جانب وأشرف على الهلاك فالتمس الخروج *بموالاة بعض الأعداء,وهو مثل من كثرت أعداؤه وكشفوه من كلّ جانب وأشرف على الهلاك فالتمس الخروج لموالاة بعض الأعداء,,,,,وهو مثل رجل كثر عدوّه واحترس من كلّ جانب فأشفق على نفسه وأيقن بالهلاك والتمس المخرج من ذلك بموالاة بعض العدوّ ومصالحته فسلم ممّا يتخوّف ووفى لمن صالح,وهو باب المبصر فرصة في مصالحة عدوّه والأخذ بالاحتراس منه
3,b28ab3b3-b8e2-4e42-8b46-d48dc3755e0d,The King Asks about Escaping Enemies,قال المَلك للفيلسوف قد سمعت مثل الرجل الذي يصير أمره إلى العجلة فاضرب لي مثل الذي تصير أعداؤه على الظفر به كيف يقدر أن يتخلّص منهم,قال المَلك للفيلسوف قد سمعت هذا المثل فاضرب لي مثل الرجل الذي يصير أعداؤه إلى الظفر به كيف يقدر على التخلّص منهم,قال المَلك للفيلسوف قد فهمت ما ذكرت من أمر الحكم والعقل وما لصاحبهما من المنفعة فاضرب لي مثل هذا الرجل إذا كثر أعداؤه وأشرف على الهلكة فالتمس المخرج بمصالحة بعضهم فسلم ممّا تخوّف ووفى لمن صالحه وأخبرني عن موضع الصلح كيف يكون !محال,قال دبيشلم الملك لبيدبا الفيلسوف قد سمعت هذا المثل فاضرب لي مثل رجل كثر أعداؤه وأحدقوا به من كلّ جانب فأشرف معهم على الهلاك فالتمس النجاة والمخرج بموالاة بعض أعدائه ومصالحته فسلم من الخوف وأمن ثمّ وفى لمن صالحه منهم,قال المَلك للفيلسوف قد فهمت ما ذكرت من أمر الحلم والعقل وما لصاحبهما من المنفعة والفضل فاضرب لي مثل رجل كثرت اعداؤه وقد أشرف على الهلكة منهم والتمس مصالحتهم لمَا يتخوّفه منهم وأخبرني عن موضع الصلح وكيف ينبغي أن يكون,قال المَلك للفيلسوف اضرب لي مثل رجل كثير الأعداء حصروه من كلّ جانب فأشرف على الهلاك فالتمس [[على]] المخرج بموالاة بعض ذلك العدوّ ومصالحته فسلم ممّا يتخوّف ووفّى لمن صالح كيف يلتمس موقع *الصلح,قال الملك ديشلم للفيلسوف قد سمعت هذا المثل فاضرب لي مثل الرجل إذا كثر أعداؤه وحصروه من كلّ جانب وأشرف على الهلاك فالتمس المخرج والخلاص من ذلك كلّه بمصادقة بعض أعدائه ومصالحته فسلم من الخوف ونجا من الهلاك ووفى لمن صالحه منهم واحترس في موضع الصلح كيف يلتمس الخلاص,قال الملك قد سمعت هذا المثل فاضرب لي مثل رجل كثرت أعداؤه وحصروه من كلّ جانب وأشرف على الهلاك فالتمس الخروج والخلاص من ذلك كلّه بموالاة بعض الأعداء ومصالحته فسلم من الخوف وكيف يلتمس ذلك,قال الملك ديشلم ملك الهند لقد سمعت مثل الناسك وابن عرس وهو مثل من يستعمل العجلة قبل الثبات والتأنّي وكيف كانت عاقبة أمره فاضرب لي مثل من كثرت أعداؤه وحصروه من كلّ جانب وأشرف على الهلاك فالتمس الخروج والخلاص من ذلك كلّه بموالاة بعض الأعداء ومصالحته فسلم من الخوف ووفا لمن صالح منهم واحترص في موضع الصلح وكيف يُلتمس ذلك,قال الملك للفيلسوف قد سمعت المثل الذي ضربت فاضرب لي الآن إن رأيت مثل رجل كثر عدوّه وحصروه من كلّ جانب فأشرف للهلكة فالتمس المخرج بموالاة بعض العدوّ ومصالحته فسلم ممّا يتخوّف ووفى لمن صالح منهم فأخبرني عن موضع الصلح وكيف يُلتمس ذلك,قال ديشليم الملك لبيدنا الفيلسوف قد فهمت هذا المثل فاضرب لي مثل رجل ضعيف وأعداؤه كثيرة *وحضروه من كلّ مكان فأشفى على الهلاك فالتمس الصلح لبعض أعدائه فسلم بذلك ووفى لمن صالح وأخبرني عن موضع الصلح كيف ينبغي أن يُلتمس,قال الملك للفيلسوف قد فهمت ما ذكرت من أمر العلم والعقل وما لصاحبهما من المنفعة والفضل فاضرب لي مثل رجل كثير أعداؤه وقد أشرف على الهلكة منهم والتمس مصالحتهم لما يتخوّفه منهم فأخبرني عن موضع الصلح وكيف ينبغي أن يكون,قال الملك قد فهمت مثل من لا يعجل بالأمر ويعمل بالتثبّت فاضرب لي إن رأيت مثل رجل كثر عدوّه وحصروه من كلّ جانب فأشرف علي الهلاك فالتمس المخرج بموالاة بعض العدوّ ومصالحته ووفا لمن صالح منهم فأخبرني عن موضع الصلح وكيف يُلتمس ذلك,قال الملك للعالم قد سمعت مثل من يعجّل في الأمور ويعمل بغير التثبّت فاضرب لي مثل الرجل الذي كثر أعداؤه واكتنفوه من كلّ جانب فأشرف على الهلاك والتمس المخرج منه بموالاة بعض ذلك الأعداء ومسالمته فسلم ممّا تخوّف ووفى لمن صالح فأخبرني عن الصلح كيف يُلتمس,قال الملك *للفيلسوف قد فهمت من أمر العقل والحلم وما لصاحبهما فيهما من المنفعة ومثل من يعجّل بالأمر ولا يعمل بالتثبّت فاضرب لي إن رأيت مثل رجل كثيرًا أعداؤه فقصدهم لمنازعة فصار أعداؤه إلى الظفر به فأشفى على الهلاك فالتمس المخرج بموالاة بعض العدوّ ومصالحته فسلم ممّا تخوّف ووفى لمن صالح وأخبرني عن موضع الصلح وكيف يُلتمس
4,8dff9975-7896-4767-8d61-84595927c558,The Philosopher Responds that Emotions Change,قال الفيلسوف إنّه ينبغي لمن ظفر به أعداؤه وصار إليهم أن يلتمس صداقة بعض أعدائه ويتّخذه خليلًا ويصالحه ليهزم بذلك ما يري عدوّه فإنّه من كلّ حين يصير الصديق صديقًا ولا العدوّ عدوًّا فإذا رأى العدوّ من عدوّه صداقة أو منفعة لم يقف على عداوته بل يرجع منه إلى الصداقة والصفاء,قال الفيلسوف إنّه ينبغي لمن ظفر به أعداؤه وصار إليهم أن يلتمس صداقة بعض أعدائه ويتّخذه خليلًا ويصالحه ليهزم به سائر أعدائه فإنّه ليس كلّ حين يكون الصديق صديقًا ولا العدوّ عدوًّا فإذا رأى الصديق من صديقه كراهة صار منه إلى العداوة وإذا رأى العدوّ من عدوّه منفعة لم يقف على عداوته بل يرجع إلى الصداقة والصفاء,<فقال> الفيلسوف إنّ العداوة والولاية ليس كلّها تدوم وتثبت وكثير من المودّة تتحوّل بغضًا وكثير من البغض يتحوّل مودّة عن حوادث العلل والأمور,قال الفيلسوف إنّ المودّة والعداوة لا يثبتان على حالة واحدة أبدًا وربّما حالت المودّة إلى العداوة وصارت العداوة ولاية ولهذا حوادث وعلل وتجارب,قال الفيلسوف إنّ العداوة والولاية لا تدوم ولا تثبت وكثير من المودّة يتحوّل بغضًا وكثير من البغضاء يتحوّل مودّة كلّ ذلك عن حوادث العلل والأمور وربّما صار الحبّ بغضًا والبغض حبًّا والعدوّ حبيبًا,قال الفيلسوف إنّ العداوة كلّها لا يثبت وتدوم وكثير من المودّة يتحوّل بغضًا كثير من العداوة يتحوّل صلحًا على حوادث الأمور والعلل,قال الفيلسوف إنّ العداوة والولاية والمودّة والبغض ليس كلّها تثبت وتدوم وكثير من الموّدة تتحوّل بغضًا وكذلك البغض يتحوّل مودّة عن حوادث الأمور وحركات المقدور والتجارب من ذوي الآراء,قال الفيلسوف إنّ العداوة والموالاة والمودّة والبغض ليس كلّها تثبت وتدوم وكثير محبّة تتحوّل بغضة وكثير بغض يتحوّل مودّة عن حوادث العلل والأمور والتجارب,قال بيديا الفيلسوف إنّ العداوة والموالاة والمودّة والبغض ليس كلّها تثبت وتدوم وكثيرًا من [من] المحبّة تتحوّل بغضة من حوادث العلل والأمور والتجارب,قال الفيلسوف إنّ العداوة والمودّة والبغضاء ليس كلّها تثبت وتدوم وكثير من المودّة يتحوّل بغضًا وكثير من البغض يتحوّل محبّة ومودّة عن حوادث العلل والأمور,قال الفيلسوف إنّ العداوة والولاية والمودّة والبغض ليس كلّها تدوم وتثبت وكثير من المودّة ربّما يتحوّل بغضًا وكثير من البغض يتحوّل مودّة عند حوادث العلل ومعارض الأمور,قال الفيلسوف إنّ العداوة والولاية لا تدوم ولا تثبت وكثير من المودّة يتحوّل بغضًا وكثير من البغضة تتحوّل مودّة عن حوادث العلل والأمور وربّما صار البغض حبًّا والحبّ بغضًا,قال الفيلسوف إنّ العداوة والمودّة والبغض ليس كلّها تلبث وتدوم وكثير من المودّة يتحوّل بغضًا وكثير من البغضاء يتحوّل مودّة عن حوادث العلل والأمور,قال العالم إنّ العداوة والولاية ليس كلّها تدوم وكثير من المودّة يحول بغضًا وكثير من البغضاء يحول مودّة عن حوادث الأمور والعلل,قال الفيلسوف إنّ العداوة والولاية والمودّة والبغض ليس كلّها تثبت وتدوم فكثير من المودّة تتحوّل بغضًا وكثير من البغضاء تتحوّل مودّة من حوادث العلل والأمور
5,cf2994dc-8253-4e79-8455-05d78345291f,The Intelligent Adapts to Situations,والعالِم يصبر عند الاضطرار إلى مصافاة أعدائه والذي لا يعلم تفسد عنه الوجوه في ذلك فلا يعرف له سببًا ولا وجهًا حتّى يهلك في العماء,والعالم هو الذي يصير عند الاضطرار إلى مصادقة أعدائه والذي لا يعلم تسنّد عنه الوجوه في ذلك ولا يعرف له سببًا ولا وجهًا حتّى يهلك في العماء,فذو الرأي يتحرّك لكلّ ما يطرأ عليه من ذلك عملًا من الطبع فيما قبل العدوّ,وذو الرأي يحدث لكلّ ما يحدث رأيًا جديدًا أمّا من قبل العدوّ فبالبأس وأمّا من قبل الصديق فبالاستئناس,,وذوو الرأي يجدون لكلّ حال من ذلك برأيهم وعلمهم ما يرجون نيل ما عند عدوّهم أو *الإياس ممّا عند صديقهم,,وذوي الرأي *لكلّ ما يحدث *وإن كان من الطمع بما قِبل العداوة التماس فيما عند الصديق,وذوي الرأي لكلّ ما يحدث وإن كان من الطمع بما قبل العداوة التماس بما عند الصديق,وذوى الرأي والعقل يهيّئ لكلّ ما حدث من ذلك رأيًا من الطبع فيما يحدث من ذلك قبل العدوّ ولا بأس فيما عند الصديق,وذو الرأي يحدث لكلّ حادث من ذلك رأيًا ويعدّ له عدّته عند الطمع فيما قبل العدوّ واليأس بما عند الصديق,,وذو الرأي يحدث لكلّما حدث من ذلك رأيًا من الطمع فيما قِبل العدوّ واليأس فيما عند الصديق,وذو الرأي يحدث لكلّ حدث من ذلك رأيه من طمع فيما قِبل العدوّ ويأس ممّا *عند,وذوي الرأي يُحدث من ذلك رأيًا من الطمع فيما قبل عذره واليأس ممّا عند صديقه
6,f41ab2e5-b602-4a67-83dc-35ed07a5f09d,Enmity Must Not Stop One from Requesting Help,,,,ولا تمنع عداوة ذا العقل من عاداه بالاستنجاد به على دفع مخوف أو جرّ مرغوب,ولا يمنع ذا العقل عداوة كانت في نفسه لأحد من أقاربه ولا من غيرهم لطلب ما عندهم إذا طمع فيه في دفع مخوف أو جرّ منفعة ولا يقصّر في الأخذ بالرأي في إحداث المواصلة,ولا تمنع ذلك الفعل عداوة كانت في نفسه لعدوّه من مقاربته والتماس ما عنده إذا طمع منه في دفع مخوف أو جرّ مرغوب فيه ولا يعدّ بالرأي في إحداث المؤانسة والموادعة,كذلك لالتماس المنافع ودفع المضارّ,ولا يمنع ذو العقل عداوة كانت لنفسه نافعة مقارنة والتماس ذلك من العدوّ إذا طمع منه في دفع مخوف أو حذر من خوف,ولا يمنع ذوي العقل عداوة كانت لنفسه نافعة مقارنة والتماس ذلك من العدوّ إذا طمع منه في دفع مخوف أو حذر [أو حذر] من خوف,ولا يمنعنّ ذا العقل عداوة كانت لعدوّه من مقاربته والتماس ما عنده إذا طمع منه في دفع مخوف ويُعمِل الرأي في إحداث المواصلة والموادعة,ولا يمنع ذا العقل عداوة كانت في نفسه لعدوّه من مقاربته والتماس ما عنده إذا طمع منه في دفع مخوف أو إجرار نفع ويُعمل الرأي في إحداث المواصلة والموادعة,ولا يمنع ذو العقل عداوة كانت في نفسه لأحد من أقربائه ولا غيرهم من طلب ما عندهم إذا طمع فيه في دفع مخوف أو جرّ منفعة ولا يقصّر في الأخذ بالرأي في إحداث المواصلة,فلا يمنعنّ ذلك ذو العقل عداوة كانت في نفسه لعدوّه من مقارنته والتماس ما عنده إذا طمع فيه في نفع مخوف أو جرّ مرغوب فيه ويعمل الرأي في إحداث المواصلة والموادعة,الصديق ولا يمنع ذي العقل عداوة كانت في نفسه لعدوّه من مقاربته والتماس ما عنده إذا طمع منه في دفع مخوف أو جرّ مرغوب ولا يعبأ مع ذلك بإحداث الرأي في المواصلة والموادعة,ولا يمنعنّ ذا العقل عداوة كانت في نفسه لعدوّه أو لغيره من مقاربته والتماس ماعنده إذا طمع منه في دفع مخوف أو جرّ *مرغوب فيه وإعمال الرأي في إحداث المواصلة والموادجة والموادعة
7,dc50bd0b-ef8a-4c7b-a566-b72be4792465,One's Disposition toward Friends and Foes Changes,,,,,,,,,,,,,,,فإنّه ليس <في> كلّ حين يكون الصديق صديقًا وليس في كلّ وقت ينجح الطلب وليس في كلّ ساعة يكون العدوّ عدوًّا لأنّه إذا رأى الصديق من صديقه كراهة صار منه إلى العداوة المفرطة وإذا رأى العدوّ من عدوّه منفعته لم يقف على عداوته بل يرجع منه إلى الصداقة والصفاء
8,dd5234fa-2b41-4d93-8053-31c30c0399a1,The Intelligent Man Could Make Friends or Foes ,,,,,,,,,,,,,,,وكل مودّة تحدث عن الطمع والاضطرار في عاجل فلن تثبت أن تحوّل وكذلك العداوة عن اليأس والرجاء والعالم هو يصير عند الاضّطرار إلى مصافاة أعدائه والذي لا يعلم عند الوجوه في ذلك ولا يعرف لها سببًا ولا توجّهًا حتّى يهلك في العناء
9,23bb585b-795e-48fc-91d9-f04dd640b7ed,The Resolute Attains His Need,,,,ومن عمل في ذلك بالحزم ظفر,فإنّه من أبصر ذلك وعمل بالحزم ظفر بحاجته وأدرك طلبته,,فمن عمل في ذلك بالحزم ظفر بحاجته ومن,ومن عمل في ذلك الحزم ظفر بحاجته,ومن عمل في ذلك الحزم ظفر بحاجته,ومن أبصر الرأي في ذلك فأخذ فيه بالظفر بحاجته,ومن أعمل رأيه في ذلك وأخذ بالحزم ظفر فيه بحاجته وخلص من ورطته,فإنّه من أخذ في تقصير ذلك وعمل فيه بالحزم ظفر بحاجته وأدرك طلبته,ومن أبصر الرأي في ذلك وأخذ فيه بالحرص ظفر بحاجته,فمن أبصر الرأي في ذلك وأخذ فيه بالحزم ظفر بحاجته,ومن أبصر في ذلك الرأي وأبصر فيه بالحزم ظفر بحاجته وأدرك طلبته
10,2f213521-7473-42cc-915b-d9327194a8c4, The Parable of the Cat and Rat Is Invoked,ومثل ذلك السّنور والجرذ الذي خلّص كلّ منهما صاحبه,ومثل ذلك مثل السنّور والجرذ الذين تخلّصا من الشرك بمصانعة كلّ واحد منهما صاحبه,*ومن المثل في ذلك مثل السنّور والجرذ الذين اصطلحا حين وقعا في الورطة والشدّة فكان في ذلك من صلحهم ما فيه *حياتهما,ومثل ذلك مثل الجرذ والسّنور حين وقعا في الورطة فنجيا باصطلاحهما جميعًا من الورطة الشديدة,ومن [[ذلك]] التمثيل في ذلك مثل الجرذ والسنّور اللذان اصطلحا لمّا وقعا في الورطة والشدّة وكان في ذلك صلاحهما جميعًا,ومن أمثال ذلك الجرذ والسنّور,أمثال ذلك مثل السنّور والجرذ الذي اصطلحا حين وقعا في ورطة وكان لهما رأي في خلاصهما جميعًا من الورطة الشديدة قال الملك,ومن أمثال ذلك مثل السنور والجرذ الذين اصطلحا حين وقعا في ورطة وكان لهما رأي في خلاصهما جميعًا من الورطة الشديدة,ومن أمثال ذلك مثل الجردون والسنّور الذين اصطلحا حين وقعا في ورطة وكان لهما رأي في خلوصهما جميعًا من ذلك الورطة الشديدة,ومن أمثال ذلك مثل الجرذ والسنّور الذين اصطلحا حين كان ذلك الرأي لهما صوابًا وكان في صلحهما صلاحهما جميعًا ونجاتهما من الورطة الشديدة,ومن أمثال ذلك مثل الجرذ والسنّور الذين اصطلحا حين وقعا في الورطة والشدّة وكان في ذلك خلاصهما جميعًا ممَّا وقعا فيه,ومن أمثال ذلك مثل الجرذ والسنّور اللذين اصطلحا لمّا وقعا في الورطة والشدّة وكان في ذلك صلاحهما جميعًا,ومن أمثال ذلك مثل السنّور والجرذ اللذّين اصطلحا فكان في ذلك صلاحهما جميعًا ونجاتهما من الورطة الشديدة,ومن المثل في ذلك مثل السنّور والجرذ اللذين اصطلحا حتّى كان ذلك الرأي لهما وكان في صلحهما خلاصهما من الورطة الشديدة التي كانا تورّطا فيها,ومن المثل في ذلك الجرذ والسنّور الذين اصطلحا حين كان لهما رأيًا عند وقوعهما في الورطة والشدّة بمصانعة كلّ واحد منهما صاحبه فكان من ذلك خلاصهما وصلاحهما جميعًا
