unit_order,unit_id,unit_title,P3466,CCCP578,P3471,Met-1981.373,P5881,VAF298
1,caed84c8-0304-4115-8528-e1b4500b61d5,Book Title,ثمّ ضمّن الأبواب كلّها كتابًا واحدًا سمّاه كتاب كليلة ودمنة,,بسم الله الرحمن الرحيم وعليه أتوكّل هذا كتاب كليلة *ودمنة,كتاب كليلة ودمنة,فهذا كتاب كليلة ودمنة,هذا كتاب كليلة ودمنه
2,3cffbbe7-aa38-4937-9144-490dbd58ea35,Number of Chapters and Epistles,وفيه أربعة عشر بابًا كلّ باب منها قائم بنفسه شرك فيه نفسه بالملك والجواب ليكون له حطابًا,وأمّا هذه الستّة عشر باب,وهو ستّة عشر بابًا,,وهو ستة عشر بابًا ورسالتان,وهو ستّة عشر بابًا ورسالة في ابتداء الكتاب
3,e7602a2d-4d27-4518-82ad-4b6fb671d233,Lv,,باب برزوية الناسك المتطبّب وهي بعثة الملك أنوشروان كسرى ابن قتاد لبرزويه المتطبّب إلى بلد الهند في طلب كليلة ودمنة,ورسالته في ابتداء الكتاب وهي في بعثة الملك كسرى أنوشروان لبرزويه المتطبّب إلى بلاد الهند في طلب كتاب كليلة *ودمنة والرسالة الثانية في آخر الكتاب لبرزجمهير ابن البختكان في مدح الملك أنوشروان وَهْوَ كسرى بن قباد ملك الفرس,ورسالة في ابتداء الكتاب وهو في إنفاذ الملك كسرى انوشروان برزوية الطبيب إلى بلاد الهند في طلب كليله ودمنه والرسالة الثانية في آخر الكتاب لبرزجمهر بن البختكان في مدح الملك كسرى وهو ملك الفرس,فالرسالة الأولى في ابتداء الكلام وهي بعثة المَلك أنوشروان برزويه المتطبّب إلى بلاد الهند لنقل هذا الكتاب,وهي في بعثة الملك كسرى أنوشروان برزويه المتطبّب إلى بلاد الهند في طلب كليلة ودمنة والرسالة الثالثة في أوّل الكتاب لبزرجمهر بن التحتكان في مدح الملك انوشروان وهو كسرى بن قباد ملك الفرس
4,7c87f762-8332-4754-b28b-4c645c6333e1,Short List of Chapters,,,,,الباب الأوّل باب ابن المقفع الباب الثاني باب برزويه المتطبّب الباب الثالث باب الأسد والثور الباب الرابع باب الفحص عن أمر دمنة الباب الخامس باب الحمامة المطوّقة الباب السادس باب البوم والغراب الباب السابع باب القرد والسلحفاة الباب الثامن باب الناسك وابن عرس الباب التاسع باب بلاد وإيلاد الباب العاشر باب السنور والجرذ الباب الحادي عشر باب المَلك والطير قبّرة الباب الثاني عشر باب الأسد وابن آوى الباب الثالث عشر باب السيّاح والصوّاغ الباب الرابع عشر باب ابن المَلك وأصحابه الباب الخامس عشر باب اللبوة والأسوار الباب السادس عشر باب الناسك والضيف,
5,de399e37-5888-4aaf-95ea-ea1b2a8cb8e6,Advice on Ethics and Pragmatics,وجعل كلامه على ألسن البهائم والسباع والطير ليكون ظاهره لهوًا للخواطر وباطنه رياضةً بالغة للخاصّة وضمّنه أيضًا ما يحتاج إليه الإنسان من أمر دنياه وآخرته ومعيشته ويخّصه على حسن طاعة الملوك ونصيحتها ومجانبته ما يكون مجانبته خيرًا له من ذلك,,وأمّا هذه الستة عشر بابًا فإنّها تتصرّف على ثلاثمائةٍ وثلاثين بابًا من الحكمة منها أمر الملوك وإصلاحهم وإصلاح رعيّتهم وفي السلاطين ونصيحتهم وفي اعتقاد الإخوان والمداراة لهم وفي أهل الصلاح والكون معهم وفي أهل الشره والمباعدة منهم وفي اقتناء الشرف والرفعة وفي اتّخاذ الأموال وطلب العيش وفي جميع المال والادّخار وفي العقل وفي الجوابات الحاضرة وفي السخافة والشره والشرّ والنميمة وفي رفض الدنيا والزهد فيها وغير ذلك ممّا لا يحصى من الصنوف,وخمسة عشر بابًا تتصرّف على ثلثمائة وثلثين بابًا في أمر الملك وصلاح رعيّته وفي السلاطين ونصحهم وفي اتّخاذ الإخوان ومداراتهم وفي أهل الصلاح والجلوس معهم وفي أهل الشرور والبعد عنهم وفي اقتناء الشرف والرفعة وفي الحاجة إلى الإخوان وطلب المعيشة وفي جمع المال وادّخاره وفي العقل وفي الشرّ وفي النميمة والزهد وغير ذلك ممّا لا يحصى من الصنوف,وهذه الستة عشر بابًا تتصرّف على ثلاثمئة وثلاثون بابًا من الحكمة في الملوك وإصلاح رعيّتهم وفي السلاطين وصنعتهم وفي اعتقاد الإخوان والمداراة لهم وأهل الصنع والكون معهم وفي أهل الشرّ والمباعدة عنهم وفي أهل الخير والقرب منهم وفي طلب العيش وجمع الأموال والادّخار له وفي العقل والجوابات الظاهرة وفي السخافة والشره والنميمة وفي رفض الدنيا والزهد فيها وغير ذلك ممّا لا يُحصى,وأمّا هذه الستّة عشر بابًا فهي تتصرّف على ثلثمائة وثلثين بابًا من الحكمة منها في أمر الملوك وإصلاح رعيّتهم وفي السلاطين وصحبتهم وفي اعتقاد الإخوان والمداراة لهم وفي أهل الصلاح والكون معهم وفي أهل الشر والمباعدة منهم وفي اقتناء الشرف والرفعة وفي اتّخاذ الأموال وطلب العيش وفي جمع المطالب والادّخار وفي العقل والخرافات الحاظرة وفي السخافة والشره والأشرّ والنميمة وفي رفض الدنيا والزهد فيها وغير ذلك ممّا لا يحصي من الصنوف
6,ece0b0fa-fb12-4911-8c7c-83ffe2f562bc,Intercalated Tales,,,وثلاثمائة أحدوثةٍ مداخلةٌ بعضها في بعضٍ وكلّ بابٍ من هذه الأبواب موضوعٌ لجهةٍ من الجهات,وثلثمائة وأربعون أحدوثة متداخلةٌ بعضها في بعض,وثلاثمائة وأربعون أحدوثة متداخلة بعضها في بعض,وثلثمائة وأربعون أحدوثةً مداخلةٌ بعضها في بعضٍ
7,4923b9c1-77b1-4fc0-b8f1-b7afb3be4d96,Each Chapter Touches Aspect,,فوضع كلّ باب منها لجهة من الجهات,,كلّ بابٍ من هذه الأبواب موضوعٌ لجهةٍ من الجهات,وأمّا هذه الستّة عشر بابًا هي مجمع كلّ باب منها الجهة من الجهات,وكلّ بابٍ من هذه الأبواب موضوعٌ لجهةٍ من الجهات
8,ab30d3b3-f3c5-4b65-96c4-89544724d544,Im,,الباب الأوّل هو ترجمة ابن المقفّع فوصّى من قرأ هذا الكتاب أن لا تكون قراءته له طلب بلوغ آخره بل يكون قصده لطلب ما فيه من الحكمة والاستفهام والمنافع,الباب الأول باب ابن *المقفّع وصيّةً لمن قرأ هذا الكتاب أن لا تكون قراءته له طلبًا لبلوغ أجره بل يكون قصده طلب ما فيه من المنافع واستفهام حكمه,الباب الأوّل منفعةٌ ووصيّةٌ لمن قرأه أن لا يكون قراءته طلبًا لبلوغ آخره والله أعلم بل منفعةً واِستفهام حكمته وموعظته,فالباب الأوّل باب ابن المقفّع يوصي فيه من قرأ هذا الكتاب أن لا تكون قراءته له طلبًا لبلوغ آخره بل يكون قصده لطلب ما فيه من الحكمة والمنافع,فأوّل هذه الأبواب باب ابن المقفّع وصيّةٌ لولده ولمن قرأ هذا الكتاب أن لا يكون قرابة له طلبًا لبلوغ آخره بل يكون قصده طلب ما فيه من المنافع واستفهامه حكمه
9,89409fed-918d-4dc6-b130-b3025f014714,Bu,,والباب الثاني وهو باب برزويه المتطبّب في انتقاله من حالٍ إلى حالٍ وبحثه عن الأديان والتماسه طلب الحكمة,الباب الثاني برزويه المتطبّب في انتقاله من حالٍ إلى حال بحثه عن الأديان والتماسه طلب الحكمة,الباب الثاني باب المتطبّب وانتقاله من حالٍ إلى حالٍ وبحثه عن الأديان والتماسه للحكم,والباب الثاني باب برزويه المتطبّب في انتقاله من حال إلى حال وبحثه عن الأديان والتماسه طلب الحكمة والباب,باب برزويه المتطبّب في انتقاله من حالٍ إلى حالٍ وبحثه عن الأديان والتماسه طلب الحكمة
10,231665ac-e48d-4fdb-a463-b273f3b888ef,Lo,الباب الأوّل باب الأسد والثور فيه مثل المتحابّين كيف يقطع بينهما الكذوب الخائن ويحملهما على العداوة,الباب الثالث باب الأسد والثور وهو مثل الرجلين المتحابّين يقطع بينهما الكذوب المحتال الخؤون ويحملهما بالنميمة والباطل على العداوة والبغضاء وفي هذا الباب زاجرٌ للملوك وذوي العقول عن إمكان الوزراء من أنفسهم وإهمالهم بغير التفقّد والفحص عمّا يؤذون من غيرهم وداعية لهم على اهتمام بعضهم على بعضٍ والعمل بالتثبّت في أمورهم,الباب الثالث باب الأسد والثور وهو مثل الرجلين المتحابّين يقطع بينهما الخوّان الكذوب ويحملهما بالنميمة والباطل على العداوة وعلى البغضاء وزاجرًا للملوك وذوي العقول عن إمكان الوزراء من أنفسهم بغير التفقّر لهم والفحص عمّا يؤدّي من غيرهم وداعيته لهم على اتّهام الناس بعضهم على بعضٍ والعمل بالتثبّت في أمورهم,الباب الثالث باب الأسد والثور وهو مثل الرجلين المتحابّين يقطع بينهما الخؤون الكذوب ويحملهما بالنميمة والباطل على العداوة والبغضاء وفي هذا الباب زاجرٌ للملوك وذوي العقل عن تمكين الوزراء من نفسهم بغير التفقّد لأحوالهم والعمل بالتثبّت في أمورهم وأعمالهم,الثالث باب الأسد والثور ومثل الرجلين المتحابّين الذين يقطع بينهما الكذوب المحتال الخؤون ويحملهما بالنميمة والباطل على العداوة والبغضاء وفي هذا زجر للملوك وذوي العقول عن إمكان الوزراء من أنفسهم وإهمالهم عن التفقّد والفحص عمّا يؤذون به بعضهم على بعض والعمل بالتثبّت في أمرهم,باب الأسد والثور وهو مثل الرجلين المتحابّين يقطع بينهما الخؤون الكذوب ويحملهما بالنميمة والباطل على العداوة والبغضاء وفي هذا الباب زاجرٌ للملوك وذوي العقول عن إمكان الوزراء منهم بغير التفقّد لهم والفحص عمّا يؤذي من غيرهم وداعيةٌ لهم إلى اتّهام الناس بعضهم على بعضٍ والعمل بالتثبّت في أمورهم
11,e4c230a6-80d4-4fed-b23b-b341804cae8b,Di,الباب الثاني باب الفحص عن أمر دمنة وهو مثل من يطلب نفع نفسه بضرّ غيره ويُهلك البريء بالكذب والقذف,الباب الرابع في الفحص في أمر دمنه وهو باب من اطّلعت الملوك على ذنبه وسعايته بأهل البراء والنصيحة بعد تشبّهه في الاعتذار وتمويهه في الاحتجاج فاستحلّوا لذلك قتله وفي هذا الباب مرغّبٌ للملوك وذوي الألباب في التثبّت وشدّة الفحص وقلّة الثقة بأهل النميمة والسعاية,الباب الرابع في البحث عن ذنب من اطّلعت الملوك على ذنبه وسعايته بأهل البراءة والنصيحة بعد تشبيهه في الاعتذار وتمويهه في الاحتجاج فاستحلّوا لذلك قتله وفي هذا الباب ترغيبًا للملوك وذوي الألباب في الثباث وشدّة الفحص وقلّة الثقة بأهل النميمة والشقاية,الباب الرابع في البحث عمن اطّلعت الملوك على ذنبه وسعايته بالباطل وتمويههم في الاحتجاج حتّى استحلّوا قتله بذلك وفي هذا لترغيبٌ للملوك وذوي الألباب في التثبّت وقلّة الثقة بأهل النميمة والسعاية في حقوق الخلق وأعراضهم بالباطل والله أعلم,والباب الرابع باب الفحص عن أمر دمنة وفي البحث عن الأديان ومن اطّلعت الملوك على دينه وسعايته بأهل البراءة والنصيحة بعد تشبّهه في الاعتذار وتمويهه في الاحتجاج فاستحلّوا لذلك قتله وفي هذا الباب مرغّب للملوك وذوي الألباب في التثبّت وشدّة الفحص وقلّة الثقة بأهل النميمة والسعاية,باب الحثّ [[على]] {عن} أمور ذميمة وهو البحث عن ذنب من اطّلعت الملوك على ذنبه وسعايته بأهل البراءة والنصيحة بعد تشهيره في الاعتذار وتمويهه في الاحتجاج فاستحلّوا لذلك قتله وفي هذا الباب ترغيبٌ للملوك وذوي الألباب في التثبّت والفحص وقلّة التقرّب بأهل النميمة
12,09575edb-ec0c-43ad-9883-986d0a298755,Rd,الباب الثالث الحمامة المطوقة وهو مثل إخوان الصفاء كيف يبدأ تواصلهم وتعاونهم على النوائب,الباب الخامس وهو باب الحمامة المطوّقة وهو مثل إخوان الصفاء وبدوّ تواصلهم واستمتاع بعضهم من بعضٍ وتخليصهم بالتعاون والتآزر وإخلاص المودّة والوفاء من عند الهلاك ومصارع السوء وفي هذا الباب داعية لذوي العقول إلى الرعيّة في اتّخاذ الأصدقاء والاستكثار منهم ومكالمتهم بالصدق والوفاء فإنّ هؤلاء أكثر عند الحاجة نفعًا من الأخ الشقيق والأب والأمّ,الباب الخامس في الحمامة المطوّقة وهو مثل إخوان الصفاء وابتداء تواصلهم واستماع بعضهم ببعضٍ وتخليصهم بالتعاون والتوازر وإخلاص المودّة والوفاء والنجاة من المهالك ومصارع السوء وفي هذا الباب داعيةٌ لذوي العقول إلى الرغبة في اتّخاذ الأصدقاء والاستكثار منهم ومعاملتهم بالصدق والوفاء لأنّ هؤلاء عند الحاجة أكثر نفعًا من الأخ الشفيق الباب السادس,الباب الخامس باب الحمامة المطوّقة وهو مثل إخوان الصفاء المتحابّين وابتداء تواصلهم واجتماع بعضهم على بعض والتزاور والإخلاص والمودّة والوقاية من الهلكة ومصارع السوء وفي هذا الباب داعيةٌ لذوي العقول للرغبة في اتّخاذ الأصدقاء والاستكثار منهم ومعاملتهم بالصدق والوفاء لأنّ هؤلاء عند الحاجة أكثر نفعًا من الأخ الشقيق والله أعلم,والباب الخامس باب الحمامة المطوّقة وهو مثل إخوان الصفاء وترف مواصلتهم واستمتاع بعضهم من بعض وتخليصهم بالتعاون والتآزر وإخلاص المودّة والوفاء عند الهلاك ومصارع السوء وفي هذا الباب داعية لذوي العقول إلى الرغبة في اتّخاذ الأصدقاء والاستكثار منهم ومعاملتهم بالصدق والوفاء ومكافأتهم بالجميل فإنّ هؤلاء أكثر عند الحاجة نفعًا من الأخ الشقيق للأمّ والأب,باب المطوّقة وهو مثل إخوان الصفاء وابتداء تواصلهم واستمتاع بعضهم ببعضٍ ومخلصهم بالتعاقد والتزاور وإخلاص المودّة والوفاء من الهلكة ومضارع السوء وفي هذا الباب داعيةٌ لذوي العقول إلى الرغبة في اتّخاذ الأصدقاء والاستكثار منهم ومعاملتهم بالصدق والوفاء لأنّ هؤلاء عند الحاجة أكثر نفعًا من الأخ الشفيق
13,15501123-8e9b-4a95-8cd2-997b7aa63336,Oc,الباب الرابع البوم والغربان وهو مثل العدوّ الذي ينبغي أن لا يغترّ به وكيف يغترّ الرجل بتضرّع العدوّ وتملّقه فيهلك,الباب السادس باب البوم والغربان وهو مثل العدوّ الذي لا ينبغي أن يغترّ به وإن أظهر نفعًا وتودّدًا وتضرّعًا مثل العدوّ الخبيث المحتال بعمله في الققرّب إذا لم يمكنه إدراك الوتر من عدوّه بالشدّة والمحاربة وفي هذا الباب تذكية للعاقل الموتر الأديب وداعية للمواتر إلى الاحتراس,باب البوم والغراب وهو مثل العدوّ *الذي لا يتّقي أن يغترّ به وإن أظهر نفعًا وتودّدًا وتضرّعًا وهو يمكنه إدراك الوتر من عدوّه بالشدّة والمحاربة وفي هذا الباب تزكيّةٌ للعاقل الموثور وداعيةٌ له إلى الاحتراس من مكر عدوّه,الباب السادس باب البوم والغربان وهو مثل العدوّ فلا ينبغي أن يغترّ به فمن اغترّ أضرّ به عدوّه,والباب السادس باب البوم والغربان وهو مثل العدوّ الخبيث الذي لا ينبغي بقاؤه وإن أظهر نفعًا وتودّدًا أو تضرّعًا وهو مثل العدوّ الخبيث المحتال بعمله في التقرّب إذا لم يمكنه إدراك الفعل من عدوّه بالشدّة والمحاربة وفي هذا الباب تزكية للعاقل الأديب وداعية إلى الاحتراس,باب البوم والغربان وهو مثل العدوّ الذي لا ينبغي أن يُغترّ به وإن أظهر نفعًا وتودّدًا وتضرّعًا وهو مثل العدوّ الخبيث المحتال لعلمه بالتقرّب إذا لم يمكنه إدراك الوتر من عدوّه
14,1acaab6f-3f6e-4622-8837-046d0db4394e,At,الباب التاسع القرد والغيلم وهو مثل من يعمل في اكتساب شيء فإذا وصل إليه وظفر به أضاعه ولم يحسن القيام به,الباب السابع وهو باب القرد *والسلحفاة وهو مثل من يعمل في اكتساب الشيء فإذا اكتسبه لم يحسن اعتقاده وحفضه حتّى يذهب به ضياعًا وفي هذا الباب زجرٌ لذوي المعرفة عن الغفلة والتهاون عمّا اكتسبوه وداعٍ لهم على القيام بحفظه,الباب السابع باب القرد والسلحفاة وهو مثل من يعمل في اكتساب الشيء فإذا أكسبه لم يحسن حفظه حتّى يذهب ضياعًا وفي هذا الباب زاجرًا لذوي المعرفة والفهم عن الغفلة والتهاون بما اكتسبوه وداعٍ لهم إلى القيام بحفظه الباب الثامن,الباب السابع باب القرد والسلحفاة وهو مثل من يعمل في اكتساب الشيء فإذا اكتسبه لم يحسن حفظه فيذهب ضياعًا وفي هذا الباب زاجرٌ لذوي المعرفة والفهم عن التهاون فيما اكتسبوه,والباب السابع باب القرد والسلحفاة وهو مثل من يعمل في اكتساب الشيء فإذا اكتسبه لم يحسن اعتقاده وحفظه حتّى يذهب منه وفي هذا الباب زجر لذوي المعرفة عن الغفلة والتهاون عمّا اكتسبوه وداع لهم على القيام بحفظه,باب القرد والسلحفاة وهو مثل من يعمل في اكتساب الشيء فإذا أكسبه لم يحسن حفظه حتّى يذهب ضائعًا وفي هذا الباب زاجرٌ لذوي المعرفة والفهم عن التهاون بمالٍ كسبوه وداعٍ لهم إلى القيام بحفظه
15,2bbb5bc3-1d54-405f-b102-a0dd73467ec2,Aw,الباب العاشر الناسك وابن عرس وهو مثل من يعمل الأمر بغير رويّة ويستعجل فيها قبل البيان وكيف تكون عاقبة أمره,الباب الثامن وهو باب الناسك وابن عرسٍ وهو مثل من يهجم على الأمور من غير تؤدةٍ ويعجّل بالمضار قبل التثبّت فيصير عاقبة أمره إلى الندامة والخسارة وفي هذا الباب زجرٌ عن الافتخار ومرغّبٌ في الأناة,باب الناسك وبن عرس وهو مثل من يهجم على الأمور بغير مشورةٍ ويعمل بالمضافة قبل التثبّت فتصير عاقبة أمره إلى الندامة والخسارة وفي هذا الباب زاجرٌ عن الاقتحام وترغيبٌ في الإنابة,الباب الثامن باب الناسك وابن عرس وهو مثل من يهجم على الأمور بغير تأنٍّ ويعجل بالإمضاء قبل التثبّت فتصير عاقبة أمره إلى الندامة والخسارة وفي هذا الباب زاجرٌ عن الاقتحام في الأمور والترغيب في الأناءة,والباب الثامن باب الناسك وابن عرس وهو مثل من يهجم على الأمور ويعجّل بها قبل التثبّت فيصير عاقبته وأمره إلى الندامة والخسارة وفي هذا الباب زجر عن الاقتحام في الأمور ومرغّب في الأناة,باب الناسك وابن عرس وهو مثل من هو يهجم على الأمور بغير أناةٍ ويعجّل بالإمضاء قبل التثبّت فيصير عاقبة أمره إلى الندامة والخسارة وفي هذا الباب زاجرٌ عن الاقتحام وترغيبٌ في الأناة
16,6fed0830-b76e-49b5-8b5a-ab9c049728e4,Kd,الباب الخامس باب إيلاذ ويلاذ,الباب التاسع وهو باب بلاد وإبلاد وهو مثل التخلّص من كيد العدوّ والحفظ للملك والرعيّة والاستمتاع بأهل الرأي ومشورتهم واحتياطهم بالملك ونظرهم له وقبول الملك ذلك منهم ومعرفته ايّاهم بالمناصحة وترك العجلة والعمل بالإجابة إلى الأناة وفي هذا الباب تأديبٌ بليغٌ في الدنيا والدين,الباب التاسع باب بلاد وإيلاد وهو التخلّص من كيد العدوّ والحفظ للملك والرعية والاستمتاع بالرأي ومشورتهم واحتياطهم للملك ونظرهم له وقبول الملك ذلك منهم ومعرفتهم إيّاه *بالمناصحة [صحة] له وترك العجلة والعمل بالأناءة وفي هذا الباب *تأديبٌ بليغٌ في أمر الدنيا والدين,*** والحفظ للمُلك والرعيّة والاجتماع بأهل الرأي ومشورتهم وإحتياطهم الملك ونظرهم له وقبول ذلك من أهله وتعرفهم له بالمناصحة وترك العجلة وفي هذا الباب تأديبٌ بليغٌ في أمر الدنيا والدين,والباب التاسع باب بلاذ وإيلاد وهو مثل التخلّص من كيد العدوّ والحفظ للمُلك والرعيّة والاستمتاع بأهل الرأي واحتياطهم للمَلك ونظرهم له ومشورتهم وقبول المَلك ذلك منهم ومعرفته لإيّاهم بالمناصحة وترك العجلة والعمل بالإجابة إلى الأناة وفي هذا الباب تأديب البليغ في الدنيا والدين,باب بلاد وإيلاد ومثل التخلّص من كيد العدوّ والحفظ للمُلك والرعيّة والاستمتاع بأهل الرأي ومشورتهم واحتيالهم للملك ومكرهم له وقبول الملك ذلك منهم ومعرفته إيّاه بالمناصحة له وترك العجلة والعمل بالأناة وفي هذا الباب تأديبٌ بليغٌ في أمر الدنيا والدين
